tag,depth_index,depth,sample_r,sample_q,forward_h_gram,adjoint_q_gram,backprop_beta_gram
iid_generic,11,0.275,0,0,0.32908059937230555,2.3568308196971253,1.515309960586199
iid_generic,11,0.275,0,1,0.03485404987448996,2.576342231928542,1.876081390437066
iid_generic,11,0.275,0,2,-0.21229572493330084,2.4309589952304553,1.6670756714792665
iid_generic,11,0.275,1,0,0.03485404987448996,2.576342231928542,1.876081390437066
iid_generic,11,0.275,1,1,0.14360999810812972,2.8266696739624337,2.4318023406802918
iid_generic,11,0.275,1,2,-0.05879944594898328,2.66232270699,2.1408360460630393
iid_generic,11,0.275,2,0,-0.21229572493330084,2.4309589952304553,1.6670756714792665
iid_generic,11,0.275,2,1,-0.05879944594898328,2.66232270699,2.1408360460630393
iid_generic,11,0.275,2,2,0.2620428062310371,2.512333931646913,1.953534306478027
iid_generic,12,0.3,0,0,0.3316942054670622,2.342514130123165,1.6614335867814525
iid_generic,12,0.3,0,1,0.035958703518187335,2.554343557058308,1.7349620173090947
iid_generic,12,0.3,0,2,-0.21532204186628892,2.41185971535604,1.6935610905625549
iid_generic,12,0.3,1,0,0.035958703518187335,2.554343557058308,1.7349620173090947
iid_generic,12,0.3,1,1,0.14422746368658806,2.795170881336256,2.0491007255088807
iid_generic,12,0.3,1,2,-0.060630171058566544,2.634333515279204,1.8686767515025746
iid_generic,12,0.3,2,0,-0.21532204186628892,2.41185971535604,1.6935610905625549
iid_generic,12,0.3,2,1,-0.060630171058566544,2.634333515279204,1.8686767515025746
iid_generic,12,0.3,2,2,0.2649694880933266,2.4876259455054024,1.8082225007739388
iid_generic,13,0.325,0,0,0.33645933884615414,2.3196154120083086,0.7593175397283684
iid_generic,13,0.325,0,1,0.036069920454869425,2.51981275055175,1.1822883106252113
iid_generic,13,0.325,0,2,-0.21985678391620445,2.383535574090318,0.9339024603742709
iid_generic,13,0.325,1,0,0.036069920454869425,2.51981275055175,1.1822883106252113
iid_generic,13,0.325,1,1,0.14397449540384225,2.7472569050214264,2.3189253670610417
iid_generic,13,0.325,1,2,-0.062414469594422504,2.5935417056882004,1.6225404744565857
iid_generic,13,0.325,2,0,-0.21985678391620445,2.383535574090318,0.9339024603742709
iid_generic,13,0.325,2,1,-0.062414469594422504,2.5935417056882004,1.6225404744565857
iid_generic,13,0.325,2,2,0.2706139864619534,2.4534556357205335,1.2481727683109385
iid_generic,14,0.35,0,0,0.3366506375410732,2.310088183716151,1.0690850801561014
iid_generic,14,0.35,0,1,0.03985247784186038,2.495796459666454,1.2829820512569217
iid_generic,14,0.35,0,2,-0.22191552493483632,2.370144910683145,1.2183652358989823
iid_generic,14,0.35,1,0,0.03985247784186038,2.495796459666454,1.2829820512569217
iid_generic,14,0.35,1,1,0.1463168141943486,2.7053654021697855,1.653147108787641
iid_generic,14,0.35,1,2,-0.06558719255353489,2.564911709691667,1.4921926596572739
iid_generic,14,0.35,2,0,-0.22191552493483632,2.370144910683145,1.2183652358989823
iid_generic,14,0.35,2,1,-0.06558719255353489,2.564911709691667,1.4921926596572739
iid_generic,14,0.35,2,2,0.2736680650823627,2.436165512355415,1.4329505687763315
iid_generic,15,0.375,0,0,0.33938147160179716,2.2967179999137075,0.8898765786425823
iid_generic,15,0.375,0,1,0.03794498075993653,2.4824074530598943,1.2194467294085853
iid_generic,15,0.375,0,2,-0.22548253317044079,2.3528241835159047,0.8797061208418605
iid_generic,15,0.375,1,0,0.03794498075993653,2.4824074530598943,1.2194467294085853
iid_generic,15,0.375,1,1,0.14393111952664636,2.691726988441225,2.0769202284165504
iid_generic,15,0.375,1,2,-0.06374603008099082,2.547349189272698,1.2486701195028747
iid_generic,15,0.375,2,0,-0.22548253317044079,2.3528241835159047,0.8797061208418605
iid_generic,15,0.375,2,1,-0.06374603008099082,2.547349189272698,1.2486701195028747
iid_generic,15,0.375,2,2,0.27861586997501936,2.414929365412616,0.909752103242691
iid_generic,16,0.4,0,0,0.34315966126050806,2.26995493546137,0.9771435203164716
iid_generic,16,0.4,0,1,0.040402241571696466,2.4437043399322804,1.4170089546830409
iid_generic,16,0.4,0,2,-0.22991072952835287,2.326854099698643,1.1015487129946806
iid_generic,16,0.4,1,0,0.040402241571696466,2.4437043399322804,1.4170089546830409
iid_generic,16,0.4,1,1,0.14374864741254204,2.638794965777389,2.3203820230268932
iid_generic,16,0.4,1,2,-0.06706197719639863,2.5092882314828757,1.6972256880707854
iid_generic,16,0.4,2,0,-0.22991072952835287,2.326854099698643,1.1015487129946806
iid_generic,16,0.4,2,1,-0.06706197719639863,2.5092882314828757,1.6972256880707854
iid_generic,16,0.4,2,2,0.2825200735486818,2.389586414298267,1.3304369133757254
iid_generic,17,0.425,0,0,0.35098217661902004,2.239639714927793,1.3999088061864853
iid_generic,17,0.425,0,1,0.042776642435645995,2.3963463063818655,1.658567578701123
iid_generic,17,0.425,0,2,-0.23756326047145812,2.291101149864884,1.5802467935407545
iid_generic,17,0.425,1,0,0.042776642435645995,2.3963463063818655,1.658567578701123
