pde,reference_block_or_pool,n,depth,seeds,held_out_content,output_sup,output_increment_sup,loss_of_mean_sup,gram_absolute_sup,gram_increment_sup,gram_increment_terminal,gram_increment_time_of_max,gram_increment_depth_fraction_of_max,theta_sup,left_terminal_feature_motion,right_terminal_feature_motion,gram_increment_fraction_left_motion
P5,n512_L32_seed14008_S8_HALF,512,32,8,True,0.02423818638431959,0.02432938090138888,0.008771920083997742,0.043106904198548686,0.009633713666788807,0.006386311872590132,0.44,1.0,0.08372214006626064,0.6338011211613804,0.6390680794624821,0.015199900008280106
P15,n512_L32_seed14008_S8_HALF,512,32,8,True,0.02423818638431957,0.024307077895049073,0.008771920083997742,0.043840897285375734,0.011976466797157201,0.008583411081368663,0.48,1.0,0.09780213483523831,0.6315521785488182,0.6390680794624821,0.018963542845623224
P5,E256_L32_leave_out_n256_L32_seed6000_S32,256,32,96,False,0.012097497943743561,0.012099016765369307,0.0023744626289172732,0.017644947772315588,0.007041853474542788,0.007041853474542788,8.0,1.0,0.031464533308291694,0.6338011211613804,0.6398320732208438,0.011110509652679786
P15,E256_L32_leave_out_n256_L32_seed6000_S32,256,32,96,False,0.012097497943743587,0.012098250882096335,0.0024308359992559203,0.018977192163758688,0.008999253760794917,0.008999253760794917,8.0,1.0,0.04916105864759647,0.6315521785488182,0.6398320732208438,0.014249422401603332
P5,E256_L32_leave_out_n256_L32_seed8000_S32,256,32,96,False,0.007620889486766351,0.007847161174170047,0.0035010131904887887,0.018445130452386237,0.00785249460246426,0.00785249460246426,8.0,1.0,0.02780311570249491,0.6338011211613804,0.6404316557731194,0.01238952463207277
P15,E256_L32_leave_out_n256_L32_seed8000_S32,256,32,96,False,0.007620889486766383,0.0076333881234868384,0.0035010131904887887,0.01844191167034598,0.009812398353088272,0.009812398353088272,8.0,1.0,0.04283273862351443,0.6315521785488182,0.6404316557731194,0.015536955910175499
P5,E256_L32_leave_out_n256_L32_seed10000_S64,256,32,64,False,0.017075014944239644,0.01707501500924161,0.0014984253533976144,0.027867026247455448,0.006731083952815521,0.006731083952815521,8.0,1.0,0.05112860118231206,0.6338011211613804,0.6392434782599088,0.010620183095418715
P15,E256_L32_leave_out_n256_L32_seed10000_S64,256,32,64,False,0.017075014944239655,0.017075015008192616,0.0014984253533976144,0.027865088859997795,0.008667337193844757,0.008667337193844757,8.0,1.0,0.0589088805515921,0.6315521785488182,0.6392434782599088,0.013723865562083217
P5,E256_L64_leave_out_old,256,64,48,True,0.016823544793693752,0.016823544809760817,0.007687611213808787,0.054536488821461705,0.005955443730895438,0.005955443730837642,7.6000000000000005,1.0,0.08614583684167124,0.6338011211613804,0.6371548362236822,0.009396391915468141
P15,E256_L64_leave_out_old,256,64,48,True,0.016823544793693766,0.016823544808747693,0.007687611213808787,0.05495807995754066,0.007552640868344072,0.007552640868344072,8.0,1.0,0.08479443301679412,0.6315521785488182,0.6371548362236822,0.011958854905225004
P5,E256_L64_leave_out_heldout,256,64,16,False,0.022073051336681686,0.022354194811169983,0.009909484249945089,0.07698163697134468,0.00995221744107556,0.00995221744107556,8.0,1.0,0.1283021958747461,0.6338011211613804,0.6430229438490003,0.0157024295300063
P15,E256_L64_leave_out_heldout,256,64,16,False,0.022073051336681686,0.02251723397451365,0.009909484249945089,0.07698758372078714,0.012235134752835358,0.012235134752835358,8.0,1.0,0.12975779419037572,0.6315521785488182,0.6430229438490003,0.019373117801523978
