category,isolated_axis,left,right,note,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro
fast_quadrature,R,pde_P15_N16_M128_R32_s20260723_dt0p02_T8.npz,pde_QMC_P15_N16_M128_R64_s20260723_dt0p02_T4.npz,"Same P,N,M,QMC scramble; R=32 versus R=64.",0.0,4.0,101,0.0036519353341407245,0.0013461010314839708,8.531265815887941e-08,0.0031718346227960215,7.867812460257446e-17,0.4,0.003651935334140721,0.001346101031483967,8.531265813828519e-08,0.0015246808982293802,1.998915697703809e-14,False,17,0.006057045952827715,0.003550806761649049,0.004989956705055058,0.004820508578837535,0.00013740037822943427,0.68,1.0,0.006125515932223824,0.003573416505110511,0.005059917558305786,0.0479816072895025,0.0440887805734347,0.043754890920758675,0.04607222210540263,0.03787181010149098,0.047203544205480404,0.047167353847778336
coupled_quadrature,M_and_R,pde_QMC_P5_N16_M64_R32_s20260723_dt0p02_T4.npz,pde_QMC_P5_N16_M128_R64_s20260723_dt0p02_T4.npz,QMC M/R doubled together.,0.0,4.0,101,0.006218456395375406,0.0023391607333951114,2.409648140094015e-07,0.006179942286502538,8.665422361056558e-16,0.4,0.0062184563953757025,0.002339160733395298,2.4096481464181465e-07,0.002101825077892139,6.895690938058501e-14,False,17,0.01066985726249524,0.005260749930010754,0.00849484332848593,0.010378412075086496,4.125117936522837e-05,0.68,1.0,0.01065412642034306,0.005255087980838677,0.008479686746349406,0.08913537172417209,0.08388468179118072,0.08544485781974687,0.0840131407421052,0.03421397756730842,0.057072521141758,0.055274701415478515
coupled_quadrature,M_and_R,pde_QMC_P5_N16_M128_R64_s20260723_dt0p02_T4.npz,pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz,QMC M/R doubled together.,0.0,4.0,101,0.0035861685282362397,0.0013418084072347252,1.2073014273379582e-07,0.003490104542245187,1.3625491663567784e-15,0.48,0.0035861685282373716,0.0013418084072353534,1.2073014401719513e-07,0.000854342173905065,1.755471729136403e-14,False,17,0.0063823525090497156,0.00363362667394884,0.005341372837781372,0.00387672531243366,1.301130092038941e-05,0.72,1.0,0.006381449231762723,0.0036319701051311434,0.005338021897151518,0.10119359271387608,0.09623390725401954,0.10082933185993408,0.0990621162221843,0.009242374622287693,0.09507446140521242,0.09474267286404044
quadrature_method,method_M_R,pde_GH_P5_N16_M81_R243_s20260723_dt0p02_T8.npz,pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz,Independent tensor Gauss-Hermite versus scrambled-QMC cubature; resolutions differ.,0.0,8.0,201,0.010310209347280306,0.0023057201869593406,3.392964944353613e-13,0.007391300201326334,7.159948168084688e-16,0.28,0.010310209347280632,0.0023057201869594495,3.389102899938102e-13,0.005898559211304472,2.232099449581627e-25,False,17,0.01935982843528039,0.01242435906734847,0.01756989207318465,0.014314768810448797,4.818893710544477e-06,0.52,1.0,0.019363802231414404,0.012425964036147721,0.01757399047140703,0.14583467373089254,0.0952955418127765,0.09346511288266611,0.09083212562044629,0.14583467373089254,0.1825960513697002,0.18259483885293082
implementation_crosscheck,implementation_and_cubature,operator_pde_m3_P5_N16_GH3_T1.npz,pde_GH_P5_N16_M81_R243_s20260723_dt0p02_T8.npz,"Independent prototype/new implementation; same nominal P,N and GH3 fast rule, but old archive has no metadata.",0.0,1.0,26,3.152427400121712e-16,1.6312381298636332e-16,1.1102230246251565e-16,2.7755575615628914e-16,7.057012084858426e-18,0.28,3.152427400121712e-16,1.6316902164760865e-16,1.1102230246251565e-16,1.3877787807814457e-16,2.7647155398380363e-18,False,17,1.1224719905717602e-15,5.731668611759966e-16,8.406091223604921e-16,8.881784197001252e-16,6.662004447012875e-16,0.6,0.9375,8.475682092058662e-16,4.281281331743233e-16,6.721779265590663e-16,,,,,,,
m2_qmc_moment_matching,whitening,operator_pde_m2_deg1_L16_qmc256.npz,operator_pde_m2_deg1_L16_qmc256_white.npz,Same degree-one/QMC-256 pilot; moment matching toggled.,0.0,4.0,101,0.0002954796058268986,0.00011241359349192299,1.178643892336688e-08,0.00029546415657111247,5.551792708129603e-17,0.4,0.0002954796058268986,0.00011241359349193017,1.178643892336688e-08,0.00010071369169589728,4.2359373671225325e-15,False,17,0.0005427630836639117,0.00023022561308070973,0.0004358149194744362,0.0004606101584707645,4.3979922269236274e-08,0.68,1.0,0.0005427900096151413,0.00023023524851569413,0.0004358390682959903,,,,,,,
m2_qmc_moment_matching,whitening,operator_pde_m2_deg2_L16_qmc256.npz,operator_pde_m2_deg2_L16_qmc256_white.npz,Same degree-two/QMC-256 pilot; moment matching toggled.,0.0,4.0,101,0.00029261186720714607,0.00010954634111641978,1.4993917498680376e-08,0.00028619392818440836,8.182674270850422e-18,0.56,0.00029261186720714607,0.00010954634111641978,1.4993917498680376e-08,6.492288866874474e-05,5.198778407602535e-15,False,17,0.0006816110127614444,0.0004277841820071753,0.0006050290079797155,0.00044275149932110347,5.627530799314375e-07,0.88,1.0,0.0006815412037163048,0.00042776456044416207,0.0006049649812451863,,,,,,,
m2_fast_quadrature,R,operator_pde_m2_deg1_L16_qmc256_white.npz,operator_pde_m2_deg1_L16_qmc512_white.npz,Moment-matched QMC-256 versus QMC-512.,0.0,4.0,101,0.00034158864263532065,0.00012723095372356013,1.2056933767544863e-08,0.0003389952385084438,4.5534426050565124e-17,0.4,0.00034158864263532065,0.0001272309537235671,1.2056933767544863e-08,0.00010306350689488764,4.305644703010837e-15,False,17,0.0005304326082942292,0.00022574305902567127,0.0003973670006534845,0.0005204741389577272,2.8619847733770287e-07,0.64,1.0,0.0005301520689729922,0.00022562994813316655,0.00039708267084300836,,,,,,,
m2_fast_quadrature,R,operator_pde_m2_deg2_L16_qmc256_white.npz,operator_pde_m2_deg2_L16_qmc512_white.npz,Moment-matched QMC-256 versus QMC-512.,0.0,4.0,101,0.0005426727707536194,0.00020534620257706943,1.917107973478412e-08,0.0004317338413321048,2.8609792490763984e-17,0.6,0.0005426727707536531,0.00020534620257707992,1.917107973478412e-08,0.00013028614013099737,6.810454357503487e-15,False,17,0.0009453883275212138,0.00046354411498259016,0.0007055687370692407,0.0005930479029975233,8.383995958473933e-07,0.8,1.0,0.000945222599676307,0.0004634010051029026,0.0007052754929212536,,,,,,,
m2_operator_basis,P,operator_pde_m2_deg1_L16_qmc512_white.npz,operator_pde_m2_deg2_L16_qmc512_white.npz,Same QMC-512 label; degree one (P=4) versus degree two (P=10).,0.0,4.0,101,5.690825649857153e-05,2.3635862624364585e-05,7.587980356555323e-09,5.168428677976289e-05,2.6020852139652106e-17,0.64,5.690825649862145e-05,2.363586262437847e-05,7.587980356555323e-09,6.3136453784529145e-06,2.486841654651966e-15,False,17,0.00041907801844778846,0.00035470836830226983,0.00041821106169346244,0.0002953779376003718,3.123709700034971e-07,1.52,1.0,0.0004189188899038296,0.0003546570725283721,0.0004180562632760754,,,,,,,
