comparison_type,left,right,left_n,right_n,left_L,right_L,left_S,right_S,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro,output_active_points,output_active_max_abs_z,output_active_rms_z,output_active_fraction_within_1p96_sem,gram_unique_points,gram_max_abs_z,gram_rms_z,gram_fraction_within_1p96_sem
depth_at_fixed_n64,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,64,64,16,32,64,64,0.0,8.0,201,0.023573443467234518,0.005185908510232696,5.7882496314595584e-11,0.02307997572859239,0.023573443467234518,0.0,0.023578659977090497,0.022541318643916283,0.02357344349209982,0.020398300670291136,2.8380405253790167e-22,True,257,0.08845119924675149,0.0772790158545137,0.08087032082877728,0.06100278280876914,0.07758206699372502,0.36,0.875,0.013887150879663286,0.007482296405149416,0.007939822732113556,0.10282118397665946,0.06093977115220595,0.05627175221765872,0.07621956937125951,0.05897114890676067,0.048565823358622875,0.028144068352069205,195,1.1205304733175647,0.668454261084723,1.0,309942,1.925702584137973,1.1129134568842072,1.0
depth_at_fixed_n256,pooled_exact_m3_n256_L32_S128,pooled_exact_m3_n256_L64_S64,256,256,32,64,128,64,0.0,8.0,201,0.010284138268004258,0.002685324006376105,5.50834018115134e-13,0.007557215498820713,0.00966927810683954,0.16,0.009669278106706137,0.009135478634000228,0.009669278106706137,0.0014719591385172759,8.487527042595883e-26,True,257,0.0440773287500751,0.038123985420192845,0.039510932411986624,0.03383733499848818,0.0413613857553194,0.32,0.984375,0.004226285138990869,0.0029831277326835062,0.004226285138990869,0.06918414628391939,0.06694097609113533,0.06677798549584343,0.03910534875804661,0.06288643092559254,0.007192353460424363,0.0048937977113121785,183,1.8947811528780547,1.4467519345880042,1.0,309942,2.638698827041292,1.2054059722335637,0.8333333333333334
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,256,256,32,64,32,16,0.0,8.0,201,0.015429022073749986,0.0021645854551118485,2.3139361745370333e-12,0.015277388918376867,0.015429022073749986,0.0,0.015787415078771648,0.015161018409552897,0.015429022075261001,0.01014866620759225,5.041128074365556e-24,True,257,0.07844007323820544,0.0767482030502857,0.07818920817359645,0.03337560172760881,0.07844007323820544,0.0,0.0625,0.00468125624526992,0.002852527353506572,0.004643757142663318,0.12817294572456173,0.12753654558106206,0.1281386558957306,0.05547035120040786,0.1173165130850284,0.015605868695732954,0.015605868695732954,186,0.8502636153588615,0.3781224398729638,1.0,309942,1.6788980509356646,1.1795036040716367,1.0
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,256,256,32,64,32,48,0.0,8.0,201,0.01082910720611806,0.002849097934767835,1.1716358059223285e-12,0.010211875667994919,0.010224642545437798,0.16,0.010224642545075028,0.009733489249330894,0.010224642545075028,0.007448429256161626,1.0966250773278677e-24,True,257,0.06006923280221764,0.05427566792266632,0.0555861476071433,0.03670340926287041,0.05836965334427113,0.28,0.984375,0.0062515798975130345,0.004474758659315106,0.0062515798975130345,0.09329999928330517,0.09187546019799588,0.09173746998211885,0.04384341932251612,0.09146760569793648,0.011774458602078477,0.0035157855575598178,180,1.6435058937802547,1.0726074400583037,1.0,309942,1.954352288356427,1.1114437943007316,1.0
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,256,256,32,64,32,16,0.0,8.0,201,0.010641262461882876,0.0027260418868507138,3.032477416083985e-12,0.009666793304401011,0.010047440835042385,0.12,0.01004744083356084,0.009453945085408897,0.01004744083356084,0.006587721089673093,6.285531699204384e-24,True,257,0.09058421263178469,0.08835652515287781,0.09014682911994647,0.04407596476776588,0.09035817129939981,0.4,0.296875,0.005422104503463156,0.0038746527667326697,0.005422104503463156,0.14865321389917138,0.14668092020095702,0.14663382387417268,0.07159175557772693,0.13945874556678767,0.019265448400559642,0.019265448400559642,186,1.0753522458480398,0.7286669187358614,1.0,309942,2.1775615405264546,1.3327928999792418,0.8333333333333334
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,256,256,32,64,32,48,0.0,8.0,201,0.01592167660414593,0.002948210955007379,4.253524530927906e-13,0.013698357899861428,0.01592167660414593,0.0,0.015921676603864957,0.01552714569082087,0.015921676603864957,0.011009374374080783,1.477785475109605e-25,True,257,0.051052160699344235,0.04520457996977274,0.04640832742368234,0.03509731524295412,0.048571479636010245,0.36,0.875,0.00534973284648728,0.0036239360230423596,0.0048119093254928025,0.08984949833434029,0.08796483777566973,0.08790350943804999,0.06392408374459269,0.08473907602100214,0.016603825513392456,0.016603825482246,180,1.5193186550291666,1.0201716246611423,1.0,309942,1.8848499360568678,0.9384261614228709,1.0
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,256,256,32,64,64,16,0.0,8.0,201,0.025329526427694156,0.003977519546400191,1.658750314396525e-12,0.02465955799936951,0.025329526427694156,0.0,0.025337370745521736,0.02468099849857307,0.025329526428737984,0.015018891702798798,4.435037152035659e-24,True,257,0.07582126545983296,0.0733232218653405,0.07464204190981785,0.03950089459634393,0.07582126545983296,0.0,0.140625,0.0041705474413205644,0.0030147722071176136,0.004170547440917761,0.12257576544038891,0.1219132899587488,0.12230609565323486,0.06404901156028675,0.11257674761465149,0.014380502623965626,0.014380502623965626,186,1.880570166952059,0.6282670596223027,1.0,309942,2.1996784812100962,1.217021034553497,0.8333333333333334
depth_at_fixed_n256_individual_archives,exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,256,256,32,64,64,48,0.0,8.0,201,0.016870937536052448,0.004103306608039901,1.2684631179609753e-12,0.01232447545054613,0.016870937536052448,0.0,0.01687093753482325,0.015967099348684226,0.01687093753482325,0.002578203760955078,1.7027159996577646e-24,True,257,0.0672459940127187,0.06000787594342584,0.06232263457645409,0.038963496213366255,0.0642566937684961,0.32,0.984375,0.00597527802148559,0.004118868920809292,0.00597527802148559,0.10699922822794583,0.10434382814314738,0.10424295435425988,0.05929480924228912,0.0952031662724082,0.01344255361566483,0.012387973982783013,180,2.8958415847426595,1.8367479770517448,0.7055555555555556,309942,2.794305118825494,1.466189189968718,0.7205767530699292
width_at_fixed_L16,exact_m2_L16_width_ensemble_large.npz:n64,exact_m2_L16_width_ensemble_large.npz:n128,64,128,16,16,128,96,0.0,4.0,101,0.005727051736284995,0.0018578524400733646,2.940762850188157e-07,0.005234820176515581,0.00537300979257357,0.12,0.005373423680576571,0.0048400599169345455,0.005373202349393903,0.0021134641896007333,2.6158944952159076e-13,False,17,0.019344755341041225,0.01691647332608326,0.018532855563749964,0.017372792062501752,0.018772055449607625,0.24,0.9375,0.01160367195257601,0.0068145782151042165,0.010904393877391024,,,,,,,,128,0.949156953696139,0.5829116748565777,1.0,5151,0.8836131370055235,0.5062661067674264,1.0
width_at_fixed_L16,exact_m2_L16_width_ensemble_large.npz:n128,exact_m2_L16_width_ensemble_large.npz:n256,128,256,16,16,96,48,0.0,4.0,101,0.02125678450026267,0.005631554773316067,2.6359402735788946e-07,0.01984354224197559,0.02125678450026267,0.0,0.021256805353727103,0.019476691383059873,0.021256805353727103,0.01691157385316233,1.6586044200348848e-13,False,17,0.023434469500285927,0.016402985015608683,0.023434469500285927,0.014366195135274928,0.01749937141387352,4.0,0.9375,0.007964655716074359,0.00479742053676575,0.007964655716074359,,,,,,,,126,1.615823120522884,1.111792552284204,1.0,5151,1.0169682908502975,0.5759547359439358,1.0
width_at_fixed_L16,exact_m2_L16_width_ensemble_large.npz:n64,exact_m2_L16_width_ensemble_large.npz:n256,64,256,16,16,128,48,0.0,4.0,101,0.024521636075279702,0.006029968815917421,5.476670823157643e-07,0.024127574079694507,0.024521636075279702,0.0,0.024521672136506564,0.022388896760881686,0.024521672136506564,0.016695488040733397,4.2744989152507923e-13,False,17,0.020261376262190517,0.01680970978016253,0.020188334991094712,0.01698561600370796,0.020261376262190517,0.0,0.9375,0.013197077038113245,0.007135617872179979,0.007393780516463318,,,,,,,,126,1.7709807086368927,1.3213668992187249,1.0,5151,0.8463996152321845,0.49706971193568705,1.0
