source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C1,6.4,5.655127726626504e-21,1.0319883720103793,0.6334667651585536
PDE,C1,6.44,4.3412727511640605e-21,1.0319883720126273,0.6334667651604946
PDE,C1,6.48,3.3327062763655214e-21,1.0319883720145775,0.6334667651621747
PDE,C1,6.5200000000000005,2.558482476400746e-21,1.03198837201627,0.6334667651636295
PDE,C1,6.5600000000000005,1.96418313044564e-21,1.0319883720177385,0.6334667651648892
PDE,C1,6.6000000000000005,1.507944455536658e-21,1.0319883720190135,0.6334667651659808
PDE,C1,6.640000000000001,1.1576923573911795e-21,1.0319883720201208,0.6334667651669266
PDE,C1,6.68,8.88801766336266e-22,1.0319883720210827,0.6334667651677465
PDE,C1,6.72,6.823721363542748e-22,1.0319883720219183,0.6334667651684575
PDE,C1,6.76,5.239067088871366e-22,1.0319883720226446,0.633466765169074
PDE,C1,6.8,4.022461256803718e-22,1.0319883720232752,0.6334667651696091
PDE,C1,6.84,3.0883184456069253e-22,1.031988372023824,0.6334667651700725
PDE,C1,6.88,2.3711821123482894e-22,1.0319883720243013,0.6334667651704753
PDE,C1,6.92,1.8205910104044936e-22,1.0319883720247158,0.6334667651708248
PDE,C1,6.96,1.3978186113280213e-22,1.031988372025077,0.6334667651711289
PDE,C1,7.0,1.073327895241454e-22,1.0319883720253906,0.6334667651713929
PDE,C1,7.04,8.241298409751349e-23,1.031988372025664,0.6334667651716217
PDE,C1,7.08,6.327530304973919e-23,1.0319883720259022,0.6334667651718209
PDE,C1,7.12,4.858788403542659e-23,1.0319883720261092,0.6334667651719937
PDE,C1,7.16,3.7309676627130504e-23,1.0319883720262892,0.633466765172144
PDE,C1,7.2,2.864956092552392e-23,1.0319883720264462,0.633466765172275
PDE,C1,7.24,2.1996153045885007e-23,1.031988372026583,0.6334667651723888
PDE,C1,7.28,1.6891806604591828e-23,1.0319883720267022,0.6334667651724877
PDE,C1,7.32,1.2970102230056899e-23,1.031988372026806,0.6334667651725737
PDE,C1,7.36,9.960407841279267e-24,1.0319883720268965,0.6334667651726487
PDE,C1,7.4,7.647988389324416e-24,1.0319883720269754,0.6334667651727138
PDE,C1,7.44,5.8732079460890574e-24,1.031988372027044,0.6334667651727705
PDE,C1,7.48,4.510378756465878e-24,1.0319883720271037,0.6334667651728206
PDE,C1,7.5200000000000005,3.463667453920358e-24,1.0319883720271559,0.6334667651728629
PDE,C1,7.5600000000000005,2.6598550938586254e-24,1.0319883720272014,0.6334667651729009
PDE,C1,7.6000000000000005,2.042228613830107e-24,1.0319883720272418,0.6334667651729333
PDE,C1,7.640000000000001,1.5682429132716703e-24,1.0319883720272762,0.633466765172962
PDE,C1,7.68,1.2043698460192835e-24,1.0319883720273064,0.6334667651729867
PDE,C1,7.72,9.249665962579874e-25,1.0319883720273328,0.6334667651730082
PDE,C1,7.76,7.104831384854564e-25,1.0319883720273557,0.6334667651730271
PDE,C1,7.8,5.457045583482974e-25,1.031988372027376,0.6334667651730432
PDE,C1,7.84,4.188569774135945e-25,1.0319883720273935,0.633466765173058
PDE,C1,7.88,3.21771089273091e-25,1.0319883720274086,0.6334667651730704
PDE,C1,7.92,2.4701064729991443e-25,1.0319883720274219,0.6334667651730813
PDE,C1,7.96,1.8963834827384135e-25,1.0319883720274343,0.6334667651730909
PDE,C1,8.0,1.4575666465525599e-25,1.031988372027444,0.6334667651730993
PDE,C2,0.0,0.5325000000000001,0.0,0.0
PDE,C2,0.04,0.4402526946469716,0.09363588694877246,0.0055062053166776165
PDE,C2,0.08,0.36337190989018214,0.1794956742127932,0.020119669314542617
PDE,C2,0.12,0.29902341215571016,0.2586535876328186,0.041429041600751504
PDE,C2,0.16,0.245111091222026,0.3318300409980399,0.06748838093822805
PDE,C2,0.2,0.20001206114081765,0.3995147554938322,0.09670903429702438
PDE,C2,0.24,0.1624124630392575,0.46205641433498457,0.12779442832690832
PDE,C2,0.28,0.1312098191682572,0.5197233816136443,0.15969661323820036
