category,predictor_case,target_case,metric,raw,denominator,normalized,max_time,max_depth_index,max_depth_fraction,matched,case_id,inference_role,quantity,lcb,ucb,comparison_case,pass
activation_evidence,,,loss,,,-0.0008594001898068471,,,,,C2,confirmatory,identity_margin_S_minus_2E,-0.08763069643563165,0.1531494207424261,,
activation_evidence,,,gram,,,0.4582126660915761,,,,,C4,descriptive,dense_separation,0.4461721910815945,0.4773192886727299,,
activation_evidence,,,gram,,,0.44961600486575065,,,,,C4,descriptive,pde_separation,,,,
activation_evidence,,,gram,,,0.011803705834455962,,,,,C4,descriptive,matched_pde_error,-0.0011349893192681877,0.013424222024531668,,
activation_evidence,,,gram,,,0.44829953732866396,,,,,C4,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,gram,,,0.015546444957127863,,,,,C4,descriptive,contrast_error,-0.005563025753862437,0.02009540634913795,,
activation_evidence,,,gram,,,0.4346052544226642,,,,,C4,descriptive,identity_margin_S_minus_2E,,,,
activation_evidence,,,output,,,0.16569925758770426,,,,,C4,descriptive,dense_separation,0.15997169755782426,0.17350416750054223,,
activation_evidence,,,output,,,0.16621667594752637,,,,,C4,descriptive,pde_separation,,,,
activation_evidence,,,output,,,0.030120424711309362,,,,,C4,descriptive,matched_pde_error,-0.010019867630334401,0.04356351174555847,,
activation_evidence,,,output,,,0.17963186551039734,,,,,C4,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,output,,,0.004286401076974811,,,,,C4,descriptive,contrast_error,-0.004671265891481075,0.0038481270481660673,,
activation_evidence,,,output,,,0.10545840816508553,,,,,C4,descriptive,identity_margin_S_minus_2E,,,,
activation_evidence,,,loss,,,0.13034855375131973,,,,,C4,descriptive,dense_separation,0.12374228006107765,0.139764501257149,,
activation_evidence,,,loss,,,0.13571944026430888,,,,,C4,descriptive,pde_separation,,,,
activation_evidence,,,loss,,,0.05190796082141655,,,,,C4,descriptive,matched_pde_error,-0.021204135196944057,0.09618989766177306,,
activation_evidence,,,loss,,,0.11355869539638039,,,,,C4,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,loss,,,0.006368771697938828,,,,,C4,descriptive,contrast_error,-0.003529573065197254,0.008129564724310808,,
activation_evidence,,,loss,,,0.026532632108486637,,,,,C4,descriptive,identity_margin_S_minus_2E,,,,
linear_null,,,gram,,,0.03457978106657471,,,,,C2,,dense_L2_vs_C2_separation,0.0324514857384587,0.0366975268217507,L2,
linear_null,,,gram,,,0.010949194306115,,,,,C2,,matched_C2_pde_error,-0.004118364245847168,0.01089526168668982,L2,
linear_null,,,gram,,,0.01815598960740221,,,,,C2,,linear_null_margin_H_minus_1p5E,0.017920802418075418,0.04152373831493965,L2,
linear_null,,,output,,,0.014598984558238765,,,,,C2,,dense_L2_vs_C2_separation,0.013260176092996543,0.015984654498060656,L2,
linear_null,,,output,,,0.029171997737262315,,,,,C2,,matched_C2_pde_error,-0.011012799048008889,0.04176262273729188,L2,
linear_null,,,output,,,-0.02915901204765471,,,,,C2,,linear_null_margin_H_minus_1p5E,-0.048368663823602664,0.03128249266988703,L2,
linear_null,,,loss,,,0.016044112552202956,,,,,C2,,dense_L2_vs_C2_separation,0.014286559311065938,0.017808924196268765,L2,
linear_null,,,loss,,,0.049884321883767714,,,,,C2,,matched_C2_pde_error,-0.023929018333431855,0.09153879244653156,L2,
linear_null,,,loss,,,-0.05878237027344862,,,,,C2,,linear_null_margin_H_minus_1p5E,-0.12233699863791672,0.053486796420306744,L2,
loss_progress,,,gram,,,0.27135875132413634,,,,,C2,,dense_progress_separation,0.25913758531276787,0.2837148994474563,C0,
loss_progress,,,gram,,,0.010473499801775168,,,,,C2,,matched_progress_error,,,C0,
loss_progress,,,gram,,,0.013381151604766234,,,,,C2,,progress_contrast_error,-0.004479979101055291,0.01728869868823996,C0,
loss_progress,,,gram,,,0.24459644811460388,,,,,C2,,progress_clock_margin,0.2401914267895482,0.27603437537873476,C0,
pde_scramble,,,gram,9.682678848994769e-16,0.7638789359623858,1.2675672011816745e-15,,,,,C0,,discrepancy,,,,True
pde_scramble,,,output,4.611102534756203e-16,1.0319883720275145,4.468172955957748e-16,,,,,C0,,discrepancy,,,,True
pde_scramble,,,loss,5.551115123125783e-17,0.5325000000000001,1.0424629339203347e-16,,,,,C0,,discrepancy,,,,True
pde_scramble,,,gram,0.0028425634931346587,0.7638789359623858,0.003721222512247189,,,,,C2,,discrepancy,,,,True
pde_scramble,,,output,0.0009824911941570757,1.0319883720275145,0.0009520370779244409,,,,,C2,,discrepancy,,,,True
pde_scramble,,,loss,0.00015614459354582055,0.5325000000000001,0.0002932292836541231,,,,,C2,,discrepancy,,,,True
pde_scramble,,,gram,0.0031310725709168164,0.7638789359623858,0.0040989120441867945,,,,,C4,,discrepancy,,,,True
pde_scramble,,,output,0.0009619231984819273,1.0319883720275145,0.0009321066249923607,,,,,C4,,discrepancy,,,,True
pde_scramble,,,loss,0.0002022212656389577,0.5325000000000001,0.00037975824533137593,,,,,C4,,discrepancy,,,,True
pde_scramble,,,gram,1.028268223504253e-15,0.7638789359623858,1.3461141224018331e-15,,,,,L2,,discrepancy,,,,True
pde_scramble,,,output,4.577566798522237e-16,1.0319883720275145,4.435676721365415e-16,,,,,L2,,discrepancy,,,,True
