source,case_id,time,depth_index,depth_fraction,gram_increment_fro,gram_increment_normalized
dense,C0,1.6400000000000001,14,0.875,0.6839578577540455,0.8953746798795409
dense,C0,1.6400000000000001,15,0.9375,0.7219981662256784,0.9451735507224803
dense,C0,1.6400000000000001,16,1.0,0.7634820967382101,0.9994804946104768
dense,C0,1.68,0,0.0,0.24690892554306543,0.32323044126356626
dense,C0,1.68,1,0.0625,0.27056775450773807,0.35420240272348746
dense,C0,1.68,2,0.125,0.2967212586486261,0.3884401633287568
dense,C0,1.68,3,0.1875,0.3242783914266883,0.4245154253640214
dense,C0,1.68,4,0.25,0.3513566405330726,0.4599637769699854
dense,C0,1.68,5,0.3125,0.37912069597803005,0.49630992311679395
dense,C0,1.68,6,0.375,0.4105252894020627,0.5374219265319254
dense,C0,1.68,7,0.4375,0.44037524160555436,0.5764987367412353
dense,C0,1.68,8,0.5,0.47196346921415316,0.6178511371301816
dense,C0,1.68,9,0.5625,0.5057415931555244,0.6620703482527075
dense,C0,1.68,10,0.625,0.5391565012263542,0.7058140705857908
dense,C0,1.68,11,0.6875,0.574228536890481,0.7517271518516603
dense,C0,1.68,12,0.75,0.6090561913448902,0.7973203117291885
dense,C0,1.68,13,0.8125,0.6468762284216998,0.8468308235345197
dense,C0,1.68,14,0.875,0.6840244355206991,0.8954618373642146
dense,C0,1.68,15,0.9375,0.7220690279333242,0.945266316348432
dense,C0,1.68,16,1.0,0.7635577198618096,0.9995794934439821
dense,C0,1.72,0,0.0,0.24692644598934974,0.323253377419362
dense,C0,1.72,1,0.0625,0.2705871348985333,0.3542277737474585
dense,C0,1.72,2,0.125,0.2967426285545493,0.38846813884283
dense,C0,1.72,3,0.1875,0.3243018274716433,0.42454610567715967
dense,C0,1.72,4,0.25,0.35138224173769517,0.45999729171089176
dense,C0,1.72,5,0.3125,0.3791484948984764,0.4963463149049918
dense,C0,1.72,6,0.375,0.41055555381633746,0.5374615459177339
dense,C0,1.72,7,0.4375,0.4404079404965123,0.5765415431198622
dense,C0,1.72,8,0.5,0.47199877616991875,0.6178973577472235
dense,C0,1.72,9,0.5625,0.5057796821299138,0.662120210832491
dense,C0,1.72,10,0.625,0.5391974334158351,0.7058676552410994
dense,C0,1.72,11,0.6875,0.5742725342726331,0.7517847491751114
dense,C0,1.72,12,0.75,0.6091032639130027,0.7973819348030767
dense,C0,1.72,13,0.8125,0.6469265663324131,0.8468967212944178
dense,C0,1.72,14,0.875,0.6840781575794822,0.8955321653393084
dense,C0,1.72,15,0.9375,0.7221262021707279,0.9453411635980575
dense,C0,1.72,16,1.0,0.76361873257395,0.9996593656714621
dense,C0,1.76,0,0.0,0.24694063618608783,0.3232719539189486
dense,C0,1.76,1,0.0625,0.27060282520824813,0.35424831405689255
dense,C0,1.76,2,0.125,0.29675992262407813,0.3884907786470118
dense,C0,1.76,3,0.1875,0.3243207865728559,0.4245709251875821
dense,C0,1.76,4,0.25,0.3514029471365705,0.4600243973134952
dense,C0,1.76,5,0.3125,0.3791709711340084,0.4963757387239687
dense,C0,1.76,6,0.375,0.4105800169619283,0.5374935708164962
dense,C0,1.76,7,0.4375,0.44043436473159564,0.5765761352965009
dense,C0,1.76,8,0.5,0.4720273030139506,0.6179347024659857
dense,C0,1.76,9,0.5625,0.5058104503069119,0.6621604896980934
dense,C0,1.76,10,0.625,0.5392304942377519,0.7059109354264276
dense,C0,1.76,11,0.6875,0.5743080674816498,0.7518312659820866
dense,C0,1.76,12,0.75,0.6091412781327638,0.7974316995209808
dense,C0,1.76,13,0.8125,0.6469672138054885,0.8469499332252118
dense,C0,1.76,14,0.875,0.6841215348941397,0.8955889509274629
dense,C0,1.76,15,0.9375,0.7221723630763283,0.9454015932072891
dense,C0,1.76,16,1.0,0.7636679898255164,0.9997238487318627
dense,C0,1.8,0,0.0,0.24695213817320114,0.3232870112619015
dense,C0,1.8,1,0.0625,0.2706155378676751,0.35426495630061533
dense,C0,1.8,2,0.125,0.29677392888418996,0.38850911435369573
dense,C0,1.8,3,0.1875,0.3243361354503239,0.42459101852534203
dense,C0,1.8,4,0.25,0.3514197053844434,0.460046335669279
dense,C0,1.8,5,0.3125,0.3791891571272548,0.49639954615259413
dense,C0,1.8,6,0.375,0.4105998051387437,0.5375194756763945
dense,C0,1.8,7,0.4375,0.44045573357498674,0.5766041094196047
dense,C0,1.8,8,0.5,0.4720503680409504,0.6179648970765633
dense,C0,1.8,9,0.5625,0.5058353220955223,0.6621930495546878
dense,C0,1.8,10,0.625,0.5392572159051946,0.7059459169741371
dense,C0,1.8,11,0.6875,0.5743367846670197,0.7518688598782106
dense,C0,1.8,12,0.75,0.6091719982779873,0.7974719155078045
dense,C0,1.8,13,0.8125,0.6470000588945282,0.8469929309929122
dense,C0,1.8,14,0.875,0.6841565834560781,0.8956348332790874
dense,C0,1.8,15,0.9375,0.7222096575413245,0.9454504156884971
dense,C0,1.8,16,1.0,0.7637077835988759,0.9997759430775582
dense,C0,1.84,0,0.0,0.2469614687518582,0.32329922599674726
dense,C0,1.84,1,0.0625,0.2706258461750798,0.354278450987953
dense,C0,1.84,2,0.125,0.29678528128637793,0.38852397587383136
dense,C0,1.84,3,0.1875,0.3243485711768727,0.424607298234028
dense,C0,1.84,4,0.25,0.35143327931779944,0.4600641054135631
dense,C0,1.84,5,0.3125,0.3792038829173755,0.4964188238017443
dense,C0,1.84,6,0.375,0.41061582368286553,0.5375404456801054
dense,C0,1.84,7,0.4375,0.4404730269249029,0.576626748281736
dense,C0,1.84,8,0.5,0.472069030606685,0.6179893283900293
dense,C0,1.84,9,0.5625,0.5058554419746837,0.6622193886487695
dense,C0,1.84,10,0.625,0.5392788294049122,0.705974211378787
dense,C0,1.84,11,0.6875,0.574360009874663,0.7518992641825446
dense,C0,1.84,12,0.75,0.6091968416146442,0.7975044381177199
dense,C0,1.84,13,0.8125,0.6470266181800038,0.8470276999650952
dense,C0,1.84,14,0.875,0.6841849225405093,0.8956719322002608
dense,C0,1.84,15,0.9375,0.7222398098881806,0.9454898883659549
dense,C0,1.84,16,1.0,0.7637399546870732,0.9998180585053869
dense,C0,1.8800000000000001,0,0.0,0.24696904414437024,0.3233091430034291
dense,C0,1.8800000000000001,1,0.0625,0.27063421171750685,0.3542894023861828
dense,C0,1.8800000000000001,2,0.125,0.2967944901015734,0.38853603120715957
dense,C0,1.8800000000000001,3,0.1875,0.32435865467506014,0.4246204986218286
dense,C0,1.8800000000000001,4,0.25,0.35144428266536426,0.460078509983511
dense,C0,1.8800000000000001,5,0.3125,0.37921581615488004,0.49643444569801964
dense,C0,1.8800000000000001,6,0.375,0.41062880067533836,0.5375574339643241
dense,C0,1.8800000000000001,7,0.4375,0.4404870326873101,0.5766450833368708
dense,C0,1.8800000000000001,8,0.5,0.4720841423962994,0.6180091113541916
