configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
C,2,M2,gauss_1node_2moments_lower,0.9,162.2394107876611,156.7075215508377,149.24295240145653,164.54544027344366,0.03469194076707355,-0.012891051503054026,0.0807701410074578,0.03469194076707355,0.0007378664599509792,0.0807701410074578,M1,0.025280526092500463,-0.0005015769136076535,0.025280526092500644,0.99475,True
C,2,M2,gauss_1node_2moments_lower,0.95,167.6060869624303,161.7513100801564,154.14883804270318,169.72872870698484,0.035556473018224184,-0.010914183476962921,0.0811065457473031,0.035556473018224184,0.0007185195726458332,0.0811065457473031,M1,0.030049246809361656,0.00822087985543579,0.03004924680936186,0.9973,True
C,3,M3,zero_radau_2node_3moments_upper,0.5,127.7103192965098,124.05492758396248,116.66413722697908,131.91393193883115,0.029040136761402314,-0.030639526582771446,0.08785268749142638,0.029040136761402314,0.0003166548073195504,0.08785268749142638,M2,-0.00024260233036344989,-0.00024260233036347417,0.00024260233036335968,0.1006,False
C,3,M3,zero_radau_2node_3moments_upper,0.75,147.7227977264725,142.6107924627414,135.28041460461657,150.3383781480299,0.03521834060775562,-0.016606654716161226,0.085134677294641,0.03521834060775562,0.000539904043734652,0.085134677294641,M2,-0.00206987591683825,-0.0020698759168384234,0.0020698759168382903,0.04525,False
C,3,M3,zero_radau_2node_3moments_upper,0.9,163.06038345163975,156.7075215508377,149.24295240145653,164.54544027344366,0.03973943493413629,-0.007843557335991245,0.08581763517452058,0.03973943493413629,0.0012979238740708928,0.08581763517452058,M2,-0.005047494167062745,-0.00504749416706304,0.005047494167062867,0.02195,False
C,3,M3,zero_radau_2node_3moments_upper,0.95,168.69981781642096,161.7513100801564,154.14883804270318,169.72872870698484,0.042060876863116395,-0.004409779632070712,0.0876109495921953,0.042060876863116395,0.0015631806530595085,0.0876109495921953,M2,-0.006504403844892211,-0.006504403844892377,0.006504403844892186,0.0167,False
C,4,M4,gauss_2node_4moments_lower,0.5,127.709277550726,124.05492758396248,116.66413722697908,131.91393193883115,0.02903197962861631,-0.03064768371555741,0.08784453035864047,0.02903197962861631,0.00031473733413362706,0.08784453035864047,M3,8.157132786002635e-06,-8.157132785961437e-06,8.157132786082433e-06,0.90045,True
C,4,M4,gauss_2node_4moments_lower,0.75,147.70228973410545,142.6107924627414,135.28041460461657,150.3383781480299,0.0350795034319675,-0.016745491891949228,0.08499584011885283,0.0350795034319675,0.0005305966718471888,0.08499584011885283,M3,0.000138837175788116,-0.00013883717578813193,0.00013883717578826865,0.9589,True
C,4,M4,gauss_2node_4moments_lower,0.9,162.9873035277629,156.7075215508377,149.24295240145653,164.54544027344366,0.03929115740898234,-0.008291834861145195,0.08536935764936669,0.03929115740898234,0.0012601674797244986,0.08536935764936669,M3,0.00044827752515395197,-0.0004482775251540643,0.00044827752515422606,0.98295,True
C,4,M4,gauss_2node_4moments_lower,0.95,168.59439933543382,161.7513100801564,154.14883804270318,169.72872870698484,0.04143579360310791,-0.005034862892079221,0.0869858663321867,0.04143579360310791,0.0016435376020606002,0.0869858663321867,M3,0.0006250832600084855,-0.0006250832600084842,0.0006250832600086798,0.98875,True
C,5,M5,zero_radau_3node_5moments_upper,0.5,127.70934630055652,124.05492758396248,116.66413722697908,131.91393193883115,0.029032517959216294,-0.03064714538495728,0.0878450686892405,0.029032517959216294,0.0003141990035335924,0.0878450686892405,M4,-5.383305999827337e-07,-5.383306002221255e-07,5.383306001041643e-07,0.09955,False
C,5,M5,zero_radau_3node_5moments_upper,0.75,147.70501829091916,142.6107924627414,135.28041460461657,150.3383781480299,0.03509797661620961,-0.01672701870770731,0.08501431330309486,0.03509797661620961,0.0005248199245056784,0.08501431330309486,M4,-1.84731842421057e-05,-1.847318424216121e-05,1.8473184242023735e-05,0.04125,False
C,5,M5,zero_radau_3node_5moments_upper,0.9,163.00027543969918,156.7075215508377,149.24295240145653,164.54544027344366,0.0393707427231481,-0.008212249546979439,0.08544894296353235,0.0393707427231481,0.0013020876387890305,0.08544894296353235,M4,-7.958531416575598e-05,-7.95853141659919e-05,7.958531416582971e-05,0.0174,False
C,5,M5,zero_radau_3node_5moments_upper,0.95,168.61470064864398,161.7513100801564,154.14883804270318,169.72872870698484,0.041556201464198445,-0.004914455030988617,0.0871062741932773,0.041556201464198445,0.0016098792864057425,0.0871062741932773,M4,-0.00012040786109053514,-0.000120407861090778,0.00012040786109059239,0.01165,False
A,0,M0,ntk_0moments_lower,0.5,60.0,78.47645163312902,74.84376635888232,82.2854562315322,-0.26845403836769427,-0.3142978784226583,-0.22266331103481687,0.26845403836769427,0.2226633110348169,0.31429787842265833,,,,,,
A,0,M0,ntk_0moments_lower,0.75,60.0,101.56330785018189,97.77872337701214,105.49437694843037,-0.5263377644874969,-0.5631259676255715,-0.4894720344624657,0.5263377644874969,0.48947203446246573,0.5631259676255715,,,,,,
A,0,M0,ntk_0moments_lower,0.9,60.0,118.88471115262467,114.74607174889996,123.17262221204106,-0.683809647442477,-0.7170298916420959,-0.6496497608639324,0.683809647442477,0.6496497608639324,0.717029891642096,,,,,,
A,0,M0,ntk_0moments_lower,0.95,60.0,125.20029100270101,120.85514199717606,129.70166273543646,-0.73557022074392,-0.7681624686360822,-0.7014159692489084,0.73557022074392,0.7014159692489084,0.7681624686360822,,,,,,
A,1,M1,zero_radau_1node_1moments_upper,0.5,82.29333333333334,78.47645163312902,74.84376635888232,82.2854562315322,0.047491499356946146,0.0016476593019821358,0.09328222668982346,0.047491499356946146,0.0039038855775115665,0.09328222668982346,M0,0.22096253901074814,0.12938108434499343,0.3126502191206763,1.0,True
A,1,M1,zero_radau_1node_1moments_upper,0.75,110.16,101.56330785018189,97.77872337701214,105.49437694843037,0.08125152771080195,0.04446332457272711,0.11811725773583286,0.08125152771080195,0.04446332457272711,0.11811725773583286,M0,0.44508623677669495,0.371354776726633,0.5186626430528445,1.0,True
A,1,M1,zero_radau_1node_1moments_upper,0.9,132.2304,118.88471115262467,114.74607174889996,123.17262221204106,0.10639164593171958,0.07317140173210049,0.14055153251026398,0.10639164593171958,0.07317140173210049,0.14055153251026398,M0,0.5774180015107574,0.5090982283536685,0.6438584899099955,1.0,True
A,1,M1,zero_radau_1node_1moments_upper,0.95,140.47893333333332,125.20029100270101,120.85514199717606,129.70166273543646,0.11514275387753192,0.08255050598536978,0.14929700537254365,0.11514275387753192,0.08255050598536978,0.14929700537254365,M0,0.620427466866388,0.5521189638763647,0.6856119626507124,1.0,True
A,2,M2,gauss_1node_2moments_lower,0.5,80.9954125469491,78.47645163312902,74.84376635888232,82.2854562315322,0.03159391725595832,-0.014249922799005542,0.07738464458883566,0.03159391725595832,0.00051193845684523,0.07738464458883566,M1,0.015897582100987823,-0.012602263497023408,0.01589758210098792,0.9875,True
A,2,M2,gauss_1node_2moments_lower,0.75,104.03502227554831,101.56330785018189,97.77872337701214,105.49437694843037,0.024045268392831085,-0.012742934745243718,0.060910998417862065,0.024045268392831085,0.00033556632281842545,0.060910998417862065,M1,0.05720625931797087,0.03172038982748338,0.05720625931797105,0.99995,True
A,2,M2,gauss_1node_2moments_lower,0.9,120.17723702172705,118.88471115262467,114.74607174889996,123.17262221204106,0.010813418643481516,-0.02240682555613754,0.044973305222026014,0.010813418643481516,0.00010509449666211887,0.04499968536905035,M1,0.09557822728823806,0.050764576175962944,0.09557822728823821,0.99995,True
A,2,M2,gauss_1node_2moments_lower,0.95,125.79551235961006,125.20029100270101,120.85514199717606,129.70166273543646,0.004742887846939344,-0.027849360045222944,0.03889713934195087,0.004742887846939344,9.342816049440473e-05,0.038925635377645075,M1,0.11039986603059258,0.054701145940146835,0.11039986603059286,1.0,True
A,3,M3,zero_radau_2node_3moments_upper,0.5,81.20029219407976,78.47645163312902,74.84376635888232,82.2854562315322,0.034120245020621144,-0.011723595034342853,0.07991097235349838,0.034120245020621144,0.0006646390089442208,0.07991097235349838,M2,-0.002526327764662821,-0.002526327764662918,0.0025263277646627646,0.0316,False
