configuration,metric,level_index,level_label,error_n4096,error_n4096_ci99_lower,error_n4096_ci99_upper,error_n8192,error_n8192_ci99_lower,error_n8192_ci99_upper,error_change_n8192_minus_n4096,error_change_ci99_lower,error_change_ci99_upper,bootstrap_probability_error_decreases,central_best_n4096,central_best_n8192
A,sup_absolute_log_error,2,M2,0.03159391725595832,0.008188385025836607,0.07738464458883566,0.018254064982562823,0.012570996212720821,0.048477226294935845,-0.0133398522733955,-0.04955394740048492,0.024015261278142463,0.7104,True,True
A,sup_absolute_log_error,3,M3,0.04702875070802522,0.016306669446711015,0.08216205084242095,0.029394302960228078,0.00938746204855081,0.051802926015387434,-0.017634447747797145,-0.05177325768974621,0.01849553750845131,0.89015,False,False
A,mean_absolute_log_error,0,M0,0.5535429177603971,0.5162142851255437,0.5902290972003514,0.5697300439113643,0.5468311682362383,0.5949353014376287,0.01618712615096718,-0.02233027961152651,0.05053682167423736,0.1359,False,False
A,mean_absolute_log_error,1,M1,0.0875693567192499,0.05096841897077005,0.12489798935410315,0.07138223056828252,0.046176973042018205,0.09428110624340849,-0.016187126150967374,-0.05053682167423736,0.02194899092762076,0.86425,False,False
A,mean_absolute_log_error,2,M2,0.017798873034802567,0.004896458311069485,0.05512750566965586,0.011370201974211605,0.008171048622450655,0.02633737780489073,-0.0064286710605909615,-0.04032229404610319,0.014933989679432243,0.70895,True,True
A,mean_absolute_log_error,3,M3,0.0417340469777493,0.010319829511630577,0.07906267961260259,0.02554692082678194,0.005727097668944356,0.04844579650190796,-0.016187126150967363,-0.05053682167423725,0.02054421862693672,0.86655,False,False
M,sup_absolute_log_error,0,M0,0.40359617590213054,0.361443293439447,0.45034280946704197,0.42576669686314045,0.4047919234765014,0.44907723238752256,0.02217052096100991,-0.02284860181312122,0.06202214261284576,0.09585,False,False
M,sup_absolute_log_error,1,M1,0.0696734437767428,0.02820151096728355,0.11182632623942647,0.04750292281573304,0.024242429482007576,0.06847769620237189,-0.022170520961009757,-0.062022142612845846,0.0202250600123448,0.9059,False,False
M,sup_absolute_log_error,2,M2,0.034405184223948074,0.005581122497532054,0.08731926594415135,0.016452279949171075,0.0011765018887344829,0.04678533633947771,-0.017952904274777,-0.06510771785514174,0.02025270128833873,0.87595,True,True
M,sup_absolute_log_error,3,M3,0.04250481394235942,0.010556600130587044,0.08840710171133574,0.020334292981349672,0.004304356516354478,0.0470996356428539,-0.02217052096100975,-0.06367007483540602,0.015557037722306748,0.91505,False,False
M,sup_absolute_log_error,4,M4,0.04166637206684888,0.009944061037545486,0.08825730635539046,0.019495851105839016,0.0038639396158499737,0.047088072290454204,-0.022170520961009865,-0.06408703514757887,0.01572011512736147,0.9136,False,False
M,mean_absolute_log_error,0,M0,0.2911764097013282,0.24430719328408032,0.3432247991797977,0.30980274281277065,0.28525501083479504,0.3357695648705791,0.01862633311144246,-0.031187097032616427,0.06185805075848063,0.1536,False,False
M,mean_absolute_log_error,1,M1,0.05437255331695699,0.01761353562235241,0.101241769734205,0.03574622020551455,0.014612568332421534,0.06029395218349016,-0.01862633311144244,-0.06185805075848057,0.022765559118446646,0.85375,False,False
M,mean_absolute_log_error,2,M2,0.03304033105094305,0.003279287440870083,0.0799095474681911,0.014413997939500694,0.000621574308653509,0.03896172991747628,-0.018626333111442354,-0.061858050758480575,0.01972895310801037,0.862,True,True
M,mean_absolute_log_error,3,M3,0.037378128447679695,0.006460128367437348,0.08424734486492774,0.018751795336237297,0.0025912342334255046,0.04329952731421289,-0.0186263331114424,-0.06185805075848064,0.020478344800099416,0.86285,False,False
M,mean_absolute_log_error,4,M4,0.03696665466925679,0.006129680714575955,0.08383587108650481,0.01834032155781434,0.0022685539759969096,0.04288805353578991,-0.01862633311144245,-0.06185805075848057,0.020478344800099427,0.86295,False,False
V,sup_absolute_log_error,0,M0,0.9183097362128141,0.8877474446168109,0.9491934552906729,0.9346489430022893,0.9204744086325815,0.9510861505237581,0.016339206789475202,-0.015203064026256062,0.04683358731957373,0.10345,False,False
V,sup_absolute_log_error,1,M1,0.13460726827795022,0.10372354920009152,0.16516955987395346,0.11826806148847499,0.10183085396700617,0.13244259585818297,-0.01633920678947523,-0.04683358731957353,0.015203064026256253,0.89655,False,False
V,sup_absolute_log_error,2,M2,0.02915116465001677,0.02199026282362603,0.06865238769378802,0.04549037143949205,0.03254843005794803,0.06192757896096083,0.01633920678947528,-0.02669510374812567,0.0306203794388257,0.2196,True,False
V,sup_absolute_log_error,3,M3,0.04523493817494307,0.01693054790972026,0.07689692201024279,0.028895731385467867,0.012774352379376552,0.0437844989157329,-0.016339206789475202,-0.04784235272154027,0.013764237799639777,0.8978,False,False
V,sup_absolute_log_error,4,M4,0.032841150775231816,0.007232573392908622,0.07332896884465198,0.01757629175818426,0.0028627106787049166,0.041141546105177895,-0.015264859017047556,-0.05025255093571534,0.016067698788663685,0.8706,False,True
V,sup_absolute_log_error,5,M5,0.03664679559768231,0.010679409831979481,0.07362300139701186,0.020252721819962353,0.005846527947575447,0.041232287751236135,-0.016394073777719956,-0.04974785970104745,0.013365265381870804,0.8916,False,False
V,mean_absolute_log_error,0,M0,0.7050663193965718,0.6698657713466999,0.7416359563038751,0.7197719269468963,0.7028774472302378,0.7395383490320631,0.014705607550324462,-0.021427984891999572,0.047602080826532646,0.14815,False,False
V,mean_absolute_log_error,1,M1,0.10116959101237102,0.06478720079564712,0.136370139062243,0.08646398346204662,0.06669756137687972,0.10335846317870506,-0.014705607550324407,-0.04760208082653262,0.02123005737071917,0.8519,False,False
V,mean_absolute_log_error,2,M2,0.019072505319631002,0.01373490379578336,0.04120746808082987,0.025336711444807564,0.020560507554283534,0.03900789773048104,0.006264206125176561,-0.015502407890596466,0.01856239927468148,0.12055,True,False
V,mean_absolute_log_error,3,M3,0.0387534673790573,0.011142368420337438,0.07395401542892933,0.024047859828732934,0.00797552573540311,0.040942339545391414,-0.014705607550324365,-0.047579136389729985,0.01648529292149153,0.8576,False,False
V,mean_absolute_log_error,4,M4,0.030810916973827283,0.004512471948984973,0.06601146502369931,0.016105309423502887,0.001554942958401848,0.03299978914016133,-0.014705607550324396,-0.047558043651321324,0.01615450732342955,0.85925,False,True
V,mean_absolute_log_error,5,M5,0.033892137051351356,0.007089108590671338,0.06909268510122334,0.019186529501026995,0.0038497717106207403,0.03608100921768542,-0.014705607550324361,-0.04757913638973001,0.016263421260644326,0.8584,False,False
