configuration,node,level_index,level_label,level_name,proxy_kernel,neural_reference_n4096,neural_reference_n8192,log_k8192_over_k4096,log_ratio_ci99_lower,log_ratio_ci99_upper,absolute_log_error_n4096,absolute_log_error_n4096_ci99_lower,absolute_log_error_n4096_ci99_upper,absolute_log_error_n8192,absolute_log_error_n8192_ci99_lower,absolute_log_error_n8192_ci99_upper,error_change_n8192_minus_n4096,error_change_ci99_lower,error_change_ci99_upper,bootstrap_probability_error_decreases
C,0.75,4,M4,gauss_2node_4moments_lower,147.70228973410545,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.0350795034319675,0.0005305966718471888,0.08499584011885283,0.018399787186127423,0.000324012510962976,0.043678654964419826,-0.016679716245840078,-0.061079569734911084,0.025804905657901882,0.81815
C,0.9,4,M4,gauss_2node_4moments_lower,162.9873035277629,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.03929115740898234,0.0012601674797244986,0.08536935764936669,0.019264586548262585,0.0004626482892531191,0.0413955384093038,-0.020026570860719756,-0.06182834601242048,0.022200359315403463,0.86905
C,0.95,4,M4,gauss_2node_4moments_lower,168.59439933543382,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.04143579360310791,0.0016435376020606002,0.0869858663321867,0.01975627160580362,0.0006265405393040619,0.04074647745542032,-0.021679521997304288,-0.06305458932184713,0.02074566501883588,0.88675
C,0.5,5,M5,zero_radau_3node_5moments_upper,127.70934630055652,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.029032517959216294,0.0003141990035335924,0.0878450686892405,0.017201201351606955,0.00016831520503559147,0.04738375716857624,-0.01183131660760934,-0.06350797269126557,0.031133250490606564,0.742
C,0.75,5,M5,zero_radau_3node_5moments_upper,147.70501829091916,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.03509797661620961,0.0005248199245056784,0.08501431330309486,0.01841826037036941,0.00032373847714478116,0.04369712814866186,-0.016679716245840196,-0.06107956973491109,0.025819110983905477,0.81815
C,0.9,5,M5,zero_radau_3node_5moments_upper,163.00027543969918,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.0393707427231481,0.0013020876387890305,0.08544894296353235,0.01934417186242831,0.0005028069252945105,0.04147512372346975,-0.020026570860719788,-0.061828346012420404,0.022200359315403703,0.86905
C,0.95,5,M5,zero_radau_3node_5moments_upper,168.61470064864398,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.041556201464198445,0.0016098792864057425,0.0871062741932773,0.01987667946689422,0.0006594107765162067,0.04086688531651098,-0.021679521997304226,-0.06305458932184728,0.020855353025728888,0.8867
A,0.5,0,M0,ntk_0moments_lower,60.0,78.47645163312902,79.53032956458432,0.013339852273395465,-0.030826515943817762,0.053520070665258365,0.26845403836769427,0.2226633110348169,0.31429787842265833,0.28179389064108973,0.2515707293287169,0.3128016966680136,0.013339852273395458,-0.030826515943817634,0.053520070665258226,0.20675
A,0.75,0,M0,ntk_0moments_lower,60.0,101.56330785018189,103.23601372436885,0.016335435659300325,-0.021485404536987277,0.04985639826935668,0.5263377644874969,0.48947203446246573,0.5631259676255715,0.542673200146797,0.5197154072699366,0.568004521595449,0.016335435659300068,-0.02148540453698728,0.04985639826935653,0.12915
A,0.9,0,M0,ntk_0moments_lower,60.0,118.88471115262467,120.97609675326099,0.017438768923376376,-0.01866707877162827,0.05024553705245067,0.683809647442477,0.6496497608639324,0.717029891642096,0.7012484163658533,0.6806242833296128,0.7242800154472602,0.01743876892337637,-0.01866707877162826,0.050245537052450745,0.1077
A,0.95,0,M0,ntk_0moments_lower,60.0,125.20029100270101,127.42771093043348,0.01763444774779722,-0.018609699318327344,0.05115182613557716,0.73557022074392,0.7014159692489084,0.7681624686360822,0.7532046684917171,0.7329181348428221,0.7755536882301193,0.0176344477477971,-0.018609699318327375,0.051151826135577325,0.10915
A,0.5,1,M1,zero_radau_1node_1moments_upper,82.29333333333334,78.47645163312902,79.53032956458432,0.013339852273395465,-0.030826515943817762,0.053520070665258365,0.047491499356946146,0.0039038855775115665,0.09328222668982346,0.03415164708355065,0.004072195179833009,0.06437480839592363,-0.013339852273395493,-0.05352007066525827,0.030374539389234057,0.79325
A,0.75,1,M1,zero_radau_1node_1moments_upper,110.16,101.56330785018189,103.23601372436885,0.016335435659300325,-0.021485404536987277,0.04985639826935668,0.08125152771080195,0.04446332457272711,0.11811725773583286,0.06491609205150156,0.03958477060284983,0.08787388492836191,-0.016335435659300387,-0.04985639826935649,0.021485404536987558,0.87085
A,0.9,1,M1,zero_radau_1node_1moments_upper,132.2304,118.88471115262467,120.97609675326099,0.017438768923376376,-0.01866707877162827,0.05024553705245067,0.10639164593171958,0.07317140173210049,0.14055153251026398,0.08895287700834313,0.0659212779269362,0.10957701004458378,-0.017438768923376452,-0.05024553705245059,0.018667078771628296,0.8923
A,0.95,1,M1,zero_radau_1node_1moments_upper,140.47893333333332,125.20029100270101,127.42771093043348,0.01763444774779722,-0.018609699318327344,0.05115182613557716,0.11514275387753192,0.08255050598536978,0.14929700537254365,0.09750830612973474,0.07515928639133261,0.11779483977862976,-0.017634447747797183,-0.05115182613557714,0.018609699318327382,0.89085
A,0.5,2,M2,gauss_1node_2moments_lower,80.9954125469491,78.47645163312902,79.53032956458432,0.013339852273395465,-0.030826515943817762,0.053520070665258365,0.03159391725595832,0.00051193845684523,0.07738464458883566,0.018254064982562823,0.00024855224114699314,0.048477226294935845,-0.0133398522733955,-0.05332631186986594,0.026901958466232733,0.79385
A,0.75,2,M2,gauss_1node_2moments_lower,104.03502227554831,101.56330785018189,103.23601372436885,0.016335435659300325,-0.021485404536987277,0.04985639826935668,0.024045268392831085,0.00033556632281842545,0.060910998417862065,0.007709832733530829,7.833905222656492e-05,0.030717897690483168,-0.016335435659300256,-0.04864896278397423,0.017692461102974993,0.84555
A,0.9,2,M2,gauss_1node_2moments_lower,120.17723702172705,118.88471115262467,120.97609675326099,0.017438768923376376,-0.01866707877162827,0.05024553705245067,0.010813418643481516,0.00010509449666211887,0.04499968536905035,0.006625350279894907,7.587099662722431e-05,0.029656949361301883,-0.004188068363586609,-0.041615808532395375,0.0246551193403522,0.6069
A,0.95,2,M2,gauss_1node_2moments_lower,125.79551235961006,125.20029100270101,127.42771093043348,0.01763444774779722,-0.018609699318327344,0.05115182613557716,0.004742887846939344,9.342816049440473e-05,0.038925635377645075,0.012891559900857864,0.00020961264554374243,0.03524057963926012,0.008148672053918522,-0.033016314341522565,0.029101571328245524,0.38395
A,0.5,3,M3,zero_radau_2node_3moments_upper,81.20029219407976,78.47645163312902,79.53032956458432,0.013339852273395465,-0.030826515943817762,0.053520070665258365,0.034120245020621144,0.0006646390089442208,0.07991097235349838,0.020780392747225478,0.0003210454554026645,0.05100355405959862,-0.013339852273395666,-0.05334913978762244,0.02794361599481172,0.7952
A,0.75,3,M3,zero_radau_2node_3moments_upper,105.76344117214964,101.56330785018189,103.23601372436885,0.016335435659300325,-0.021485404536987277,0.04985639826935668,0.04052258642259094,0.004342768015323922,0.07738831644762202,0.024187150763290734,0.0013918983415288557,0.047144943640150955,-0.016335435659300207,-0.04985639826935648,0.021293530843467523,0.8707
A,0.9,3,M3,zero_radau_2node_3moments_upper,124.38962984109529,118.88471115262467,120.97609675326099,0.017438768923376376,-0.01866707877162827,0.05024553705245067,0.04526460575975989,0.01209372930125092,0.07942449233830454,0.027825836836383466,0.004886863128289402,0.04844996987262416,-0.017438768923376428,-0.050245537052450495,0.018667078771628428,0.89235
A,0.95,3,M3,zero_radau_2node_3moments_upper,131.22895341419596,125.20029100270101,127.42771093043348,0.01763444774779722,-0.018609699318327344,0.05115182613557716,0.04702875070802522,0.014436502815862973,0.0811830022030368,0.029394302960228078,0.00704528322182582,0.049680836609123,-0.017634447747797145,-0.05115182613557709,0.018609699318327358,0.8909
M,0.5,0,M0,ntk_0moments_lower,195.0,220.12213061803934,223.10023593268784,0.013438627465298525,-0.04517075550640841,0.06448476602030154,0.12118297292877396,0.06376589825237473,0.18211762031794987,0.1346216003940726,0.10428854400376582,0.16511599226332765,0.013438627465298628,-0.04517075550640858,0.06448476602030155,0.25635
M,0.75,0,M0,ntk_0moments_lower,195.0,255.43930381608305,260.0858772344993,0.018027050562722108,-0.03212471343797595,0.06157704570146981,0.26998526440876147,0.22247083574943918,0.3226177146904385,0.2880123149714835,0.26303536074566547,0.31440023107102655,0.018027050562722025,-0.03212471343797589,0.06157704570146973,0.16155
M,0.9,0,M0,ntk_0moments_lower,195.0,282.29165783924765,288.24474191741297,0.020869133456739044,-0.024998125558027565,0.06098383938687557,0.3699412255656469,0.3268477690121775,0.4180940737628223,0.39081035902238603,0.3687802394961675,0.4148592133560825,0.02086913345673913,-0.02499812555802743,0.06098383938687558,0.1123
M,0.95,0,M0,ntk_0moments_lower,195.0,291.9538478493785,298.4989022963961,0.02217052096100986,-0.022848601813121285,0.06202214261284578,0.40359617590213054,0.361443293439447,0.45034280946704197,0.42576669686314045,0.4047919234765014,0.44907723238752256,0.02217052096100991,-0.02284860181312122,0.06202214261284576,0.09585
