epsilon,group,horizon,minimum_order,run_id
0.001,neighborhood,16.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.0001,neighborhood,16.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
1e-05,neighborhood,16.0,3,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.01,neighborhood,32.0,1,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.001,neighborhood,32.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.0001,neighborhood,32.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
1e-05,neighborhood,32.0,3,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.01,neighborhood,4.0,1,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.001,neighborhood,4.0,2,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.0001,neighborhood,4.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
1e-05,neighborhood,4.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.01,neighborhood,8.0,1,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.001,neighborhood,8.0,2,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.0001,neighborhood,8.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
1e-05,neighborhood,8.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.01,neighborhood,16.0,1,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.001,neighborhood,16.0,2,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.0001,neighborhood,16.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
1e-05,neighborhood,16.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.01,neighborhood,32.0,1,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.001,neighborhood,32.0,2,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.0001,neighborhood,32.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
1e-05,neighborhood,32.0,3,neighborhood_n64_L16_s12_sw0p7_A1p05_g0p95_r0_dt0p02
0.01,refinement,4.0,1,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.001,refinement,4.0,2,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.0001,refinement,4.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
1e-05,refinement,4.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.01,refinement,8.0,1,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.001,refinement,8.0,2,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.0001,refinement,8.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
1e-05,refinement,8.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p005
0.01,refinement,4.0,1,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
