code_sha256,config_sha256,depth,dt,gram_error_depth_index,gram_error_time,gram_prefix_increment,group,horizon,l1_all_depth_gram_error,l1_output_error,max_loss_increase_per_sample,method,motion_normalized_gram_error,n,normalized_output_error,order,output_error_time,output_prefix_increment,run_id,seed,sup_adjoint_defect,sup_all_depth_gram_error,sup_diagonal_gram_error,sup_forward_defect,sup_kernel_identity_defect,sup_loss_error,sup_mid_gram_error,sup_offdiagonal_gram_error,sup_output_error,sup_terminal_constraint_defect,sup_terminal_gram_error,sup_theta_error,tail_sup_all_depth_gram_error,tail_sup_output_error,terminal_all_depth_gram_error,terminal_output_error
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.72,,central,4.0,0.003560954527838604,0.00018593995902823772,0.0,K1,0.001642031743165033,64,0.00021055553497180207,1,0.56,,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,0.0008946938165972495,0.001025615924912658,0.0006497398415453396,0.0006308516953012314,0.0004823379932110202,5.431684043380458e-05,0.00028089916862768157,0.0008468596786015466,0.0002111854619379772,0.0,0.001025615924912658,0.0030315760508161965,0.0009076738567678377,6.5911948180477686e-06,0.0009033873610148847,1.9976291334616647e-08
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.72,0.0,central,8.0,0.00717449398870436,0.00018594692388680737,0.0,K1,0.0016420313480569936,64,0.00021055550064723612,1,0.56,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,0.000894693881320941,0.001025615924912658,0.0006497398415453396,0.000630851803830242,0.0004823379932110202,5.431684043380458e-05,0.00028089916862768157,0.0008468596786015466,0.0002111854619379772,0.0,0.001025615924912658,0.0030315760508161965,0.0009033873610148847,1.9976291334616647e-08,0.0009033846771639446,1.8344879256120903e-13
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.72,0.0,central,16.0,0.014401571405926461,0.00018594692395041836,1.3866695599588098e-32,K1,0.0016420313480566505,64,0.00021055550064721812,1,0.56,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,0.000894693881320941,0.001025615924912658,0.0006497398415453396,0.0006308518038305197,0.0004823379932110202,5.431684043380458e-05,0.00028089916862768157,0.0008468596786015466,0.0002111854619379772,0.0,0.001025615924912658,0.0030315760508161965,0.0009033846771639446,1.8344879256120903e-13,0.0009033846771523515,2.5438405243138006e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.72,0.0,central,32.0,0.02885572624036273,0.0001859469239511226,1.3866695599588098e-32,K1,0.0016420313480566505,64,0.00021055550064721812,1,0.56,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,0.000894693881320941,0.001025615924912658,0.0006497398415453396,0.0006308518038305246,0.0004823379932110202,5.431684043380458e-05,0.00028089916862768157,0.0008468596786015466,0.0002111854619379772,0.0,0.001025615924912658,0.0030315760508161965,0.0009033846771524209,2.7194799110210365e-16,0.0009033846771521627,1.1102230246251565e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,14,0.96,,central,4.0,0.00043898078154138847,1.3973744554571703e-05,0.0,K2,0.00019134554841246265,64,1.6550646305330095e-05,2,0.48,,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,5.6848160912379336e-05,0.00011951476725699559,8.4410923155564e-05,4.392556659527719e-05,3.359366195075995e-05,5.9840883699646685e-06,2.0666277177508456e-05,8.464258162480968e-05,1.6600161500533823e-05,0.0,8.01995001698942e-05,0.0001763195119997268,0.00011677706895157862,3.9158860818818087e-07,0.00011651189959740205,1.0569859382758493e-09
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,14,0.96,0.0,central,8.0,0.0009050264896511846,1.397410725146181e-05,0.0,K2,0.0001913455023706216,64,1.6550643607259246e-05,2,0.48,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,5.684816405068191e-05,0.00011951476725699559,8.4410923155564e-05,4.3925573880189426e-05,3.359366195075995e-05,5.9840883699646685e-06,2.066657621014667e-05,8.464258162480968e-05,1.6600161500533823e-05,0.0,8.01995001698942e-05,0.0001763195119997268,0.00011651189959740205,1.0569859382758493e-09,0.00011651138483533646,8.746133768880396e-15
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,14,0.96,0.0,central,16.0,0.001837117568307426,1.397410725637224e-05,0.0,K2,0.00019134550237058165,64,1.6550643607257833e-05,2,0.48,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,5.684816405068191e-05,0.00011951476725699559,8.4410923155564e-05,4.392557388020162e-05,3.359366195075995e-05,5.9840883699646685e-06,2.0666576212114415e-05,8.464258162480968e-05,1.6600161500533823e-05,0.0,8.01995001698942e-05,0.0001763195119997268,0.00011651138483533646,8.746133768880396e-15,0.00011651138483177308,2.5438405243138006e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,14,0.96,0.0,central,32.0,0.00370129972561593,1.3974107258555362e-05,0.0,K2,0.00019134550237058165,64,1.6550643607257833e-05,2,0.48,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,5.684816405068191e-05,0.00011951476725699559,8.4410923155564e-05,4.392557388020162e-05,3.359366195075995e-05,5.9840883699646685e-06,2.0666576212114415e-05,8.464258162480968e-05,1.6600161500533823e-05,0.0,8.01995001698942e-05,0.0001763195119997268,0.00011651138483178436,2.5438405243138006e-16,0.00011651138483177564,1.6653345369377348e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.92,,central,4.0,2.6345455322001795e-05,8.300012529415193e-07,0.0,K3,1.1500251324452489e-05,64,9.98607651932128e-07,3,0.48,,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,3.0004335319912254e-06,7.1830772748166755e-06,2.2606975758020923e-06,2.5167559260632553e-06,1.335804432246797e-06,3.145533668119649e-07,6.484826129410639e-07,6.87275172431907e-06,1.0015952242543902e-06,0.0,7.1830772748166755e-06,1.5186607737936724e-05,6.98503807316916e-06,2.51518367703961e-08,6.967453053733431e-06,6.166040890188107e-11
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,86d01384192830290f2956b0d45f8f2866dc213f9d5dbc7abb78266aeeed9c10,16,0.02,16,0.92,0.0,central,8.0,5.4215142188365616e-05,8.300221636712169e-07,0.0,K3,1.1500248557245476e-05,64,9.986074891400444e-07,3,0.48,0.0,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02,2,3.0004337480222644e-06,7.1830772748166755e-06,2.2606975758020923e-06,2.5167562445276023e-06,1.335804432246797e-06,3.145533668119649e-07,6.484826129410639e-07,6.87275172431907e-06,1.0015952242543902e-06,0.0,7.1830772748166755e-06,1.5186607737936724e-05,6.967453053733431e-06,6.166040890188107e-11,6.9674189400461625e-06,4.335559509131367e-16
