tag,depth_index,depth,sample_r,sample_q,forward_h_gram,adjoint_q_gram,backprop_beta_gram
smooth_generic,10,0.25,0,1,0.05942249602255332,2.4522018100779026,1.389893579532327
smooth_generic,10,0.25,0,2,-0.18003273029598177,2.2015871678229826,1.2007045257828066
smooth_generic,10,0.25,1,0,0.05942249602255332,2.4522018100779026,1.389893579532327
smooth_generic,10,0.25,1,1,0.13936841784250714,3.0247183775966824,2.059417153767631
smooth_generic,10,0.25,1,2,-0.04211239812561285,2.6649447763613234,1.6407220730568766
smooth_generic,10,0.25,2,0,-0.18003273029598177,2.2015871678229826,1.2007045257828066
smooth_generic,10,0.25,2,1,-0.04211239812561285,2.6649447763613234,1.6407220730568766
smooth_generic,10,0.25,2,2,0.29208749454344635,2.3991492715931373,1.6253600070848286
smooth_generic,11,0.275,0,0,0.3104024550691481,2.008951470840586,1.0269182936033352
smooth_generic,11,0.275,0,1,0.06152315955756508,2.4050398279280447,1.3150751754820953
smooth_generic,11,0.275,0,2,-0.1856419240540482,2.160595418600912,1.1486974827474605
smooth_generic,11,0.275,1,0,0.06152315955756508,2.4050398279280447,1.3150751754820953
smooth_generic,11,0.275,1,1,0.14108638776372703,2.9544768940385695,1.9629534326595859
smooth_generic,11,0.275,1,2,-0.04424589489821363,2.6069199190404557,1.5514470237551004
smooth_generic,11,0.275,2,0,-0.1856419240540482,2.160595418600912,1.1486974827474605
smooth_generic,11,0.275,2,1,-0.04424589489821363,2.6069199190404557,1.5514470237551004
smooth_generic,11,0.275,2,2,0.29799693178186587,2.3453040747686758,1.5647559814274132
smooth_generic,12,0.3,0,0,0.31786023521427437,1.9794746901232607,0.9868000592496194
smooth_generic,12,0.3,0,1,0.06341797751164449,2.3592083802651427,1.2387742322319268
smooth_generic,12,0.3,0,2,-0.19144957753158606,2.1211408379655747,1.0920124207499116
smooth_generic,12,0.3,1,0,0.06341797751164449,2.3592083802651427,1.2387742322319268
smooth_generic,12,0.3,1,1,0.14293032992646054,2.8844966137528174,1.86859092444493
smooth_generic,12,0.3,1,2,-0.046177242477534,2.549679389210842,1.4584844160200447
smooth_generic,12,0.3,2,0,-0.19144957753158606,2.1211408379655747,1.0920124207499116
smooth_generic,12,0.3,2,1,-0.046177242477534,2.549679389210842,1.4584844160200447
smooth_generic,12,0.3,2,2,0.30446462157983634,2.292665990791488,1.49361701787294
smooth_generic,13,0.325,0,0,0.32544146980600014,1.9521910524642507,0.9393338584273146
smooth_generic,13,0.325,0,1,0.06517514573887588,2.3149242717338936,1.1654582247696241
smooth_generic,13,0.325,0,2,-0.19746580474978367,2.0838103597855486,1.0223628487451406
smooth_generic,13,0.325,1,0,0.06517514573887588,2.3149242717338936,1.1654582247696241
smooth_generic,13,0.325,1,1,0.14488061681586797,2.8148011761149156,1.790167734912458
smooth_generic,13,0.325,1,2,-0.048000139655309616,2.4936621941741897,1.363469762748428
smooth_generic,13,0.325,2,0,-0.19746580474978367,2.0838103597855486,1.0223628487451406
smooth_generic,13,0.325,2,1,-0.048000139655309616,2.4936621941741897,1.363469762748428
smooth_generic,13,0.325,2,2,0.311415634999739,2.242280206817607,1.3971561124179248
smooth_generic,14,0.35,0,0,0.3331221014228934,1.9268022971822951,0.8779563803841891
smooth_generic,14,0.35,0,1,0.06690897721659499,2.271782551906982,1.0947189250539684
smooth_generic,14,0.35,0,2,-0.2037747627700658,2.0485772284501578,0.9363689506225086
smooth_generic,14,0.35,1,0,0.06690897721659499,2.271782551906982,1.0947189250539684
smooth_generic,14,0.35,1,1,0.14695373554033025,2.7447080039354117,1.7265184280927324
smooth_generic,14,0.35,1,2,-0.049827516650506935,2.438543690485161,1.2698702913818662
smooth_generic,14,0.35,2,0,-0.2037747627700658,2.0485772284501578,0.9363689506225086
smooth_generic,14,0.35,2,1,-0.049827516650506935,2.438543690485161,1.2698702913818662
smooth_generic,14,0.35,2,2,0.3189109323918516,2.1944369381534385,1.2797607861379838
smooth_generic,15,0.375,0,0,0.34092747527933803,1.9026443703787148,0.8026581386843717
smooth_generic,15,0.375,0,1,0.06878322614517436,2.2290200773898516,1.023549375934534
smooth_generic,15,0.375,0,2,-0.21052741155126972,2.014802371864636,0.8424986132290724
smooth_generic,15,0.375,1,0,0.06878322614517436,2.2290200773898516,1.023549375934534
smooth_generic,15,0.375,1,1,0.1492000137995558,2.6732628305277424,1.6642615562829188
smooth_generic,15,0.375,1,2,-0.051766817781074954,2.383424031748111,1.1833618777734711
smooth_generic,15,0.375,2,0,-0.21052741155126972,2.014802371864636,0.8424986132290724
smooth_generic,15,0.375,2,1,-0.051766817781074954,2.383424031748111,1.1833618777734711
smooth_generic,15,0.375,2,2,0.3271140943864349,2.1485483173599484,1.1573204084678659
smooth_generic,16,0.4,0,0,0.3489773449858329,1.8789749670755846,0.7265990560928395
smooth_generic,16,0.4,0,1,0.07100555912781116,2.185877936438365,0.9548705291393585
smooth_generic,16,0.4,0,2,-0.21788369467457694,1.9818084599086676,0.7648662133371763
smooth_generic,16,0.4,1,0,0.07100555912781116,2.185877936438365,0.9548705291393585
smooth_generic,16,0.4,1,1,0.15166873643185036,2.599838244010463,1.5939412862515108
smooth_generic,16,0.4,1,2,-0.05389953327555345,2.327642559536436,1.114943703322492
smooth_generic,16,0.4,2,0,-0.21788369467457694,1.9818084599086676,0.7648662133371763
smooth_generic,16,0.4,2,1,-0.05389953327555345,2.327642559536436,1.114943703322492
smooth_generic,16,0.4,2,2,0.3361767956047051,2.1040672663876188,1.0553187829730968
