source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.06,6,0.375,0.0019384793358104507,0.4853351268197654,1.0
PDE,C0,0.06,7,0.4375,0.002055186341238171,0.4853351268197654,1.0
PDE,C0,0.06,8,0.5,0.002173596200021885,0.4853351268197654,1.0
PDE,C0,0.06,9,0.5625,0.0022937100869805005,0.4853351268197654,1.0
PDE,C0,0.06,10,0.625,0.0024155291873360213,0.4853351268197654,1.0
PDE,C0,0.06,11,0.6875,0.002539054696723061,0.4853351268197654,1.0
PDE,C0,0.06,12,0.75,0.0026642878211981806,0.4853351268197654,1.0
PDE,C0,0.06,13,0.8125,0.002791229777250651,0.4853351268197654,1.0
PDE,C0,0.06,14,0.875,0.0029198817918127803,0.4853351268197654,1.0
PDE,C0,0.06,15,0.9375,0.0030502451022696147,0.4853351268197654,1.0
PDE,C0,0.06,16,1.0,0.0031823209564696415,0.4853351268197654,1.0
PDE,C0,0.07,0,0.0,0.0014862548657406623,0.4853351268197654,1.0
PDE,C0,0.07,1,0.0625,0.0016105211701390827,0.4853351268197654,1.0
PDE,C0,0.07,2,0.125,0.001736766167270646,0.4853351268197654,1.0
PDE,C0,0.07,3,0.1875,0.0018649911551799506,0.4853351268197654,1.0
PDE,C0,0.07,4,0.25,0.0019951974439804837,0.4853351268197654,1.0
PDE,C0,0.07,5,0.3125,0.0021273863558633733,0.4853351268197654,1.0
PDE,C0,0.07,6,0.375,0.0022615592251119814,0.4853351268197654,1.0
PDE,C0,0.07,7,0.4375,0.002397717398111163,0.4853351268197654,1.0
PDE,C0,0.07,8,0.5,0.0025358622333588655,0.4853351268197654,1.0
PDE,C0,0.07,9,0.5625,0.002675995101477205,0.4853351268197654,1.0
PDE,C0,0.07,10,0.625,0.0028181173852253583,0.4853351268197654,1.0
PDE,C0,0.07,11,0.6875,0.0029622304795102737,0.4853351268197654,1.0
PDE,C0,0.07,12,0.75,0.003108335791397932,0.4853351268197654,1.0
PDE,C0,0.07,13,0.8125,0.003256434740125775,0.4853351268197654,1.0
PDE,C0,0.07,14,0.875,0.0034065287571148624,0.4853351268197654,1.0
PDE,C0,0.07,15,0.9375,0.0035586192859811605,0.4853351268197654,1.0
PDE,C0,0.07,16,1.0,0.0037127077825478087,0.4853351268197654,1.0
PDE,C0,0.08,0,0.0,0.0016985769894179896,0.4853351268197654,1.0
PDE,C0,0.08,1,0.0625,0.0018405956230162358,0.4853351268197654,1.0
PDE,C0,0.08,2,0.125,0.001984875619737849,0.4853351268197654,1.0
PDE,C0,0.08,3,0.1875,0.002131418463062861,0.4853351268197654,1.0
PDE,C0,0.08,4,0.25,0.002280225650263248,0.4853351268197654,1.0
PDE,C0,0.08,5,0.3125,0.002431298692415342,0.4853351268197654,1.0
PDE,C0,0.08,6,0.375,0.002584639114413771,0.4853351268197654,1.0
PDE,C0,0.08,7,0.4375,0.0027402484549841925,0.4853351268197654,1.0
PDE,C0,0.08,8,0.5,0.0028981282666958198,0.4853351268197654,1.0
PDE,C0,0.08,9,0.5625,0.0030582801159739098,0.4853351268197654,1.0
PDE,C0,0.08,10,0.625,0.003220705583114721,0.4853351268197654,1.0
PDE,C0,0.08,11,0.6875,0.003385406262297474,0.4853351268197654,1.0
PDE,C0,0.08,12,0.75,0.0035523837615975746,0.4853351268197654,1.0
PDE,C0,0.08,13,0.8125,0.0037216397030009236,0.4853351268197654,1.0
PDE,C0,0.08,14,0.875,0.0038931757224170073,0.4853351268197654,1.0
PDE,C0,0.08,15,0.9375,0.004066993469692705,0.4853351268197654,1.0
PDE,C0,0.08,16,1.0,0.004243094608626197,0.4853351268197654,1.0
PDE,C0,0.09,0,0.0,0.001910899113095158,0.4853351268197654,1.0
PDE,C0,0.09,1,0.0625,0.002070670075893008,0.4853351268197654,1.0
PDE,C0,0.09,2,0.125,0.002232985072205,0.4853351268197654,1.0
PDE,C0,0.09,3,0.1875,0.0023978457709457088,0.4853351268197654,1.0
PDE,C0,0.09,4,0.25,0.002565253856546121,0.4853351268197654,1.0
PDE,C0,0.09,5,0.3125,0.002735211028967152,0.4853351268197654,1.0
PDE,C0,0.09,6,0.375,0.0029077190037154095,0.4853351268197654,1.0
PDE,C0,0.09,7,0.4375,0.003082779511857025,0.4853351268197654,1.0
PDE,C0,0.09,8,0.5,0.003260394300032577,0.4853351268197654,1.0
PDE,C0,0.09,9,0.5625,0.0034405651304706773,0.4853351268197654,1.0
PDE,C0,0.09,10,0.625,0.003623293781003969,0.4853351268197654,1.0
PDE,C0,0.09,11,0.6875,0.0038085820450845533,0.4853351268197654,1.0
PDE,C0,0.09,12,0.75,0.003996431731797129,0.4853351268197654,1.0
PDE,C0,0.09,13,0.8125,0.004186844665875876,0.4853351268197654,1.0
PDE,C0,0.09,14,0.875,0.004379822687718931,0.4853351268197654,1.0
PDE,C0,0.09,15,0.9375,0.004575367653404225,0.4853351268197654,1.0
PDE,C0,0.09,16,1.0,0.004773481434704339,0.4853351268197654,1.0
PDE,C0,0.1,0,0.0,0.002123221236772327,0.4853351268197654,1.0
PDE,C0,0.1,1,0.0625,0.002300744528770028,0.4853351268197654,1.0
PDE,C0,0.1,2,0.125,0.0024810945246721778,0.4853351268197654,1.0
PDE,C0,0.1,3,0.1875,0.002664273078828423,0.4853351268197654,1.0
PDE,C0,0.1,4,0.25,0.002850282062828994,0.4853351268197654,1.0
PDE,C0,0.1,5,0.3125,0.0030391233655190255,0.4853351268197654,1.0
PDE,C0,0.1,6,0.375,0.0032307988930170037,0.4853351268197654,1.0
PDE,C0,0.1,7,0.4375,0.0034253105687299915,0.4853351268197654,1.0
PDE,C0,0.1,8,0.5,0.003622660333369532,0.4853351268197654,1.0
PDE,C0,0.1,9,0.5625,0.0038228501449673446,0.4853351268197654,1.0
PDE,C0,0.1,10,0.625,0.004025881978893306,0.4853351268197654,1.0
PDE,C0,0.1,11,0.6875,0.004231757827871684,0.4853351268197654,1.0
PDE,C0,0.1,12,0.75,0.004440479701996906,0.4853351268197654,1.0
PDE,C0,0.1,13,0.8125,0.004652049628750936,0.4853351268197654,1.0
PDE,C0,0.1,14,0.875,0.004866469653021075,0.4853351268197654,1.0
PDE,C0,0.1,15,0.9375,0.005083741837115771,0.4853351268197654,1.0
PDE,C0,0.1,16,1.0,0.005303868260782532,0.4853351268197654,1.0
PDE,C0,0.11,0,0.0,0.00233554336044952,0.4853351268197654,1.0
PDE,C0,0.11,1,0.0625,0.002530818981647156,0.4853351268197654,1.0
PDE,C0,0.11,2,0.125,0.0027292039771395515,0.4853351268197654,1.0
PDE,C0,0.11,3,0.1875,0.0029307003867112703,0.4853351268197654,1.0
PDE,C0,0.11,4,0.25,0.0031353102691120886,0.4853351268197654,1.0
PDE,C0,0.11,5,0.3125,0.003343035702071057,0.4853351268197654,1.0
PDE,C0,0.11,6,0.375,0.0035538787823188893,0.4853351268197654,1.0
PDE,C0,0.11,7,0.4375,0.0037678416256031796,0.4853351268197654,1.0
PDE,C0,0.11,8,0.5,0.003984926366706682,0.4853351268197654,1.0
