control,time,depth_index,depth_fraction,C2_minus_C0_contrast_fro,contrast_normalized
n128_L32_S16,0.28,2,0.125,0.02741197639113894,0.03588523665285193
n128_L32_S16,0.28,3,0.1875,0.03538069660510807,0.046317151762449243
n128_L32_S16,0.28,4,0.25,0.04303893169464319,0.05634260832237751
n128_L32_S16,0.28,5,0.3125,0.050944130794305445,0.06669136743523714
n128_L32_S16,0.28,6,0.375,0.060044922386931494,0.07860528620452518
n128_L32_S16,0.28,7,0.4375,0.06844034563995782,0.0895958016615972
n128_L32_S16,0.28,8,0.5,0.0776672307234913,0.10167479042427179
n128_L32_S16,0.28,9,0.5625,0.08733533115831721,0.11433137771797088
n128_L32_S16,0.28,10,0.625,0.09689287849432508,0.1268432390693598
n128_L32_S16,0.28,11,0.6875,0.10662436958107448,0.13958281157045124
n128_L32_S16,0.28,12,0.75,0.11631820713403908,0.15227309153052326
n128_L32_S16,0.28,13,0.8125,0.1273072059030778,0.1666588773555952
n128_L32_S16,0.28,14,0.875,0.13758786149543956,0.18011736548553622
n128_L32_S16,0.28,15,0.9375,0.14808663668050528,0.19386139571179017
n128_L32_S16,0.28,16,1.0,0.15960786821826198,0.20894393169406789
n128_L32_S16,0.32,0,0.0,0.01245312208276565,0.01630248131803291
n128_L32_S16,0.32,1,0.0625,0.02020465438504346,0.026450074002352594
n128_L32_S16,0.32,2,0.125,0.02921026733690652,0.038239393654840706
n128_L32_S16,0.32,3,0.1875,0.03851842992974066,0.050424783452383805
n128_L32_S16,0.32,4,0.25,0.04754073784311298,0.06223595861197296
n128_L32_S16,0.32,5,0.3125,0.05684953196819725,0.0744221751534154
n128_L32_S16,0.32,6,0.375,0.06753223796577935,0.08840699067149656
n128_L32_S16,0.32,7,0.4375,0.07745148270825312,0.10139235297891094
n128_L32_S16,0.32,8,0.5,0.08835584635531424,0.11566734229161278
n128_L32_S16,0.32,9,0.5625,0.09976714512765862,0.13060596441498323
n128_L32_S16,0.32,10,0.625,0.11109386025919289,0.14543385742039008
n128_L32_S16,0.32,11,0.6875,0.12267725229667181,0.16059776820801427
n128_L32_S16,0.32,12,0.75,0.13423020704591074,0.17572183329914517
n128_L32_S16,0.32,13,0.8125,0.1472758662399096,0.19280000966954483
n128_L32_S16,0.32,14,0.875,0.15961357694822953,0.20895140503794318
n128_L32_S16,0.32,15,0.9375,0.17218727976674886,0.22541173955767718
n128_L32_S16,0.32,16,1.0,0.18600646481313726,0.24350254478321737
n128_L32_S16,0.36,0,0.0,0.010667975282749074,0.013965531421950842
n128_L32_S16,0.36,1,0.0625,0.019475497730753275,0.02549552921788155
n128_L32_S16,0.36,2,0.125,0.02965143783515485,0.038816933468387875
n128_L32_S16,0.36,3,0.1875,0.040175997642464364,0.052594718549017136
n128_L32_S16,0.36,4,0.25,0.050447456806577404,0.06604116756148057
n128_L32_S16,0.36,5,0.3125,0.06104377198956044,0.07991288817599534
n128_L32_S16,0.36,6,0.375,0.07318003024817842,0.09580056053775239
n128_L32_S16,0.36,7,0.4375,0.08450732681435638,0.11062921470388289
n128_L32_S16,0.36,8,0.5,0.09696684142181318,0.12694006452691076
n128_L32_S16,0.36,9,0.5625,0.10999887902622565,0.14400040876587558
n128_L32_S16,0.36,10,0.625,0.12297755866185396,0.16099090166286442
n128_L32_S16,0.36,11,0.6875,0.13629604607518525,0.17842623962849607
n128_L32_S16,0.36,12,0.75,0.14959592283042383,0.19583721423336917
n128_L32_S16,0.36,13,0.8125,0.1645717476344578,0.21544218577924173
n128_L32_S16,0.36,14,0.875,0.17885780291055545,0.23414417454150432
n128_L32_S16,0.36,15,0.9375,0.19339834489663474,0.25317931388300235
n128_L32_S16,0.36,16,1.0,0.20939983297842107,0.2741269893960424
n128_L32_S16,0.4,0,0.0,0.007867277102092497,0.010299115123760775
n128_L32_S16,0.4,1,0.0625,0.017578713359716006,0.023012433688290104
n128_L32_S16,0.4,2,0.125,0.028775485813242,0.03767021769881469
n128_L32_S16,0.4,3,0.1875,0.04036905513943596,0.052847451656166326
n128_L32_S16,0.4,4,0.25,0.051748682034755,0.06774461187303005
n128_L32_S16,0.4,5,0.3125,0.06348871287671208,0.08311357976735509
n128_L32_S16,0.4,6,0.375,0.07691964903231778,0.10069612527724602
n128_L32_S16,0.4,7,0.4375,0.08950712593795516,0.11717449156414832
n128_L32_S16,0.4,8,0.5,0.1033639386440425,0.13531455545873602
n128_L32_S16,0.4,9,0.5625,0.11785626730411851,0.1542865783511039
n128_L32_S16,0.4,10,0.625,0.13233006990596227,0.17323434863306447
n128_L32_S16,0.4,11,0.6875,0.14722309959545615,0.1927309324349606
n128_L32_S16,0.4,12,0.75,0.16211266828236423,0.21222298541080184
n128_L32_S16,0.4,13,0.8125,0.17884396269719416,0.23412605620794422
n128_L32_S16,0.4,14,0.875,0.19491686699714772,0.2551672232610766
n128_L32_S16,0.4,15,0.9375,0.21126236814666965,0.27656524902143975
n128_L32_S16,0.4,16,1.0,0.22927072972930243,0.300140138620856
n128_L32_S16,0.44,0,0.0,0.004294022794114046,0.005621339445240951
n128_L32_S16,0.44,1,0.0625,0.014655060468350795,0.019185056398874738
n128_L32_S16,0.44,2,0.125,0.02670683508190299,0.034962130547893606
n128_L32_S16,0.44,3,0.1875,0.03921033956203197,0.05133056786365259
n128_L32_S16,0.44,4,0.25,0.05154440879120656,0.06747719614269435
n128_L32_S16,0.44,5,0.3125,0.06427036848848307,0.08413685135526215
n128_L32_S16,0.44,6,0.375,0.07882158172186025,0.10318596051160327
n128_L32_S16,0.44,7,0.4375,0.09250402626433106,0.12109775765421298
n128_L32_S16,0.44,8,0.5,0.10758068341707956,0.1408347296310013
n128_L32_S16,0.44,9,0.5625,0.12335118124997517,0.16148001396918885
n128_L32_S16,0.44,10,0.625,0.1391398045885397,0.18214902655123233
n128_L32_S16,0.44,11,0.6875,0.1554204808702135,0.20346218956071146
n128_L32_S16,0.44,12,0.75,0.17171480173629466,0.22479321480432873
n128_L32_S16,0.44,13,0.8125,0.18999742023182892,0.24872713631310892
n128_L32_S16,0.44,14,0.875,0.20766173762736637,0.27185163492660025
n128_L32_S16,0.44,15,0.9375,0.22561545740349928,0.29535499250186004
n128_L32_S16,0.44,16,1.0,0.24541619180447818,0.3212762916355148
n128_L32_S16,0.48,0,0.0,0.0019302714150271816,0.002526933685630821
n128_L32_S16,0.48,1,0.0625,0.010906314370110505,0.014277543019784936
n128_L32_S16,0.48,2,0.125,0.02362724819784037,0.030930618826493995
n128_L32_S16,0.48,3,0.1875,0.03687980591171278,0.04827964769737909
n128_L32_S16,0.48,4,0.25,0.05001300961947641,0.06547242928811314
n128_L32_S16,0.48,5,0.3125,0.06356482883691555,0.08321322377718444
n128_L32_S16,0.48,6,0.375,0.07905927839953178,0.10349713112579498
n128_L32_S16,0.48,7,0.4375,0.09366705192506629,0.12262028381114905
n128_L32_S16,0.48,8,0.5,0.10978052857747947,0.14371456445407887
n128_L32_S16,0.48,9,0.5625,0.1266400278077373,0.165785469196356
n128_L32_S16,0.48,10,0.625,0.14355449447384988,0.18792833224677197
n128_L32_S16,0.48,11,0.6875,0.16102550584112826,0.21079977239882594
n128_L32_S16,0.48,12,0.75,0.1785280046143116,0.2337124329647735
n128_L32_S16,0.48,13,0.8125,0.1981457142813174,0.2593941329612397
n128_L32_S16,0.48,14,0.875,0.21718993246051221,0.28432507068267543
n128_L32_S16,0.48,15,0.9375,0.2365383774411368,0.30965427413328256
n128_L32_S16,0.48,16,1.0,0.25789778399010493,0.33761604339199125
n128_L32_S16,0.52,0,0.0,0.005941852647373525,0.007778526632479506
n128_L32_S16,0.52,1,0.0625,0.006628359124503162,0.008677237730285508
n128_L32_S16,0.52,2,0.125,0.019750693707028685,0.025855790462588735
n128_L32_S16,0.52,3,0.1875,0.03359521156905118,0.04397975907887247
n128_L32_S16,0.52,4,0.25,0.04737899551059203,0.06202422043605745
n128_L32_S16,0.52,5,0.3125,0.06160325219338928,0.08064530816755326
n128_L32_S16,0.52,6,0.375,0.07787122151802833,0.10194183639835672
n128_L32_S16,0.52,7,0.4375,0.09324040458650533,0.12206175638163766
n128_L32_S16,0.52,8,0.5,0.11021319157481371,0.14428096703041007
n128_L32_S16,0.52,9,0.5625,0.1279772196219533,0.16753599765219215
n128_L32_S16,0.52,10,0.625,0.14583195181964032,0.19090976979998994
n128_L32_S16,0.52,11,0.6875,0.16429860327444953,0.21508461032173268
n128_L32_S16,0.52,12,0.75,0.18281436784258093,0.23932374521135233
n128_L32_S16,0.52,13,0.8125,0.2035531830920624,0.2664730934563767
n128_L32_S16,0.52,14,0.875,0.22376480030397652,0.29293228255085035
n128_L32_S16,0.52,15,0.9375,0.24429309620624307,0.3198060382414738
n128_L32_S16,0.52,16,1.0,0.2669752095362732,0.3494993734837314
n128_L32_S16,0.56,0,0.0,0.011195436223999801,0.01465603474180767
n128_L32_S16,0.56,1,0.0625,0.0028737886494871663,0.0037620996131626215
n128_L32_S16,0.56,2,0.125,0.015305441153010399,0.02003647493398621
n128_L32_S16,0.56,3,0.1875,0.029586802517100868,0.03873231885864929
n128_L32_S16,0.56,4,0.25,0.043884643475079796,0.05744973635094544
n128_L32_S16,0.56,5,0.3125,0.05864053260377024,0.07676678835225502
n128_L32_S16,0.56,6,0.375,0.0755264363039531,0.0988722593964446
n128_L32_S16,0.56,7,0.4375,0.09150589588491641,0.11979109722358185
n128_L32_S16,0.56,8,0.5,0.1091737801014081,0.14292026519079712
n128_L32_S16,0.56,9,0.5625,0.12767093663314968,0.16713504015175035
n128_L32_S16,0.56,10,0.625,0.14629251402848886,0.19151269545635496
n128_L32_S16,0.56,11,0.6875,0.1655722316330857,0.21675192735153345
n128_L32_S16,0.56,12,0.75,0.1849178065396899,0.24207737356537798
n128_L32_S16,0.56,13,0.8125,0.20657653042362975,0.2704309815316099
n128_L32_S16,0.56,14,0.875,0.22775342643495022,0.29815382479163566
n128_L32_S16,0.56,15,0.9375,0.24925695043107457,0.32630425934843194
n128_L32_S16,0.56,16,1.0,0.2730364216018076,0.35743415448132243
n128_L32_S16,0.6,0,0.0,0.01671795514798644,0.021885608256659205
n128_L32_S16,0.6,1,0.0625,0.004934716385682361,0.006460076529620855
n128_L32_S16,0.6,2,0.125,0.010535626981743831,0.013792273206840485
n128_L32_S16,0.6,3,0.1875,0.02507829290792156,0.032830193015240365
n128_L32_S16,0.6,4,0.25,0.03976788731626881,0.05206045807005605
n128_L32_S16,0.6,5,0.3125,0.05493044522956032,0.0719098834167423
n128_L32_S16,0.6,6,0.375,0.07229671962155787,0.09464421156013895
n128_L32_S16,0.6,7,0.4375,0.08875228919691448,0.11618632877354894
n128_L32_S16,0.6,8,0.5,0.10696901559390662,0.1400339904112422
n128_L32_S16,0.6,9,0.5625,0.12604610820112092,0.1650079643082704
n128_L32_S16,0.6,10,0.625,0.14527875369646343,0.1901855737302555
n128_L32_S16,0.6,11,0.6875,0.16520710309684583,0.21627393467618908
n128_L32_S16,0.6,12,0.75,0.18521676869605155,0.24246874730575346
n128_L32_S16,0.6,13,0.8125,0.20761373451484777,0.27178879366961745
n128_L32_S16,0.6,14,0.875,0.2295716896263245,0.3005341276194437
n128_L32_S16,0.6,15,0.9375,0.2518637949563292,0.3297169002821296
n128_L32_S16,0.6,16,1.0,0.2765345111901407,0.362013531426605
n128_L32_S16,0.64,0,0.0,0.02229753251462217,0.029189877433300666
n128_L32_S16,0.64,1,0.0625,0.00989757994498304,0.012957000748441121
n128_L32_S16,0.64,2,0.125,0.005803734740111498,0.007597715379858675
n128_L32_S16,0.64,3,0.1875,0.020275192580922335,0.02654241611647308
n128_L32_S16,0.64,4,0.25,0.03524720755458386,0.04614240018305659
n128_L32_S16,0.64,5,0.3125,0.05070821863609058,0.06638253294968133
n128_L32_S16,0.64,6,0.375,0.06843682030936224,0.08959118662323233
n128_L32_S16,0.64,7,0.4375,0.0852530892644554,0.11160549826792628
n128_L32_S16,0.64,8,0.5,0.10389243020077465,0.1360064079655293
n128_L32_S16,0.64,9,0.5625,0.12341687176061605,0.16156600993994844
n128_L32_S16,0.64,10,0.625,0.143125134362206,0.18736625350440825
n128_L32_S16,0.64,11,0.6875,0.16355883950188008,0.21411617967422772
n128_L32_S16,0.64,12,0.75,0.18408783715412724,0.24099085403134082
n128_L32_S16,0.64,13,0.8125,0.20706435120544192,0.27106959160297883
n128_L32_S16,0.64,14,0.875,0.22964114225987048,0.3006250486152668
n128_L32_S16,0.64,15,0.9375,0.2525573948367716,0.33062489741071716
n128_L32_S16,0.64,16,1.0,0.277937276077079,0.36384990211428603
n128_L32_S16,0.68,0,0.0,0.027797790320167944,0.03639030874067293
n128_L32_S16,0.68,1,0.0625,0.015125831396299826,0.019801346370735162
n128_L32_S16,0.68,2,0.125,0.002953988559016729,0.0038670899535868165
n128_L32_S16,0.68,3,0.1875,0.015361858316535143,0.020110331092166124
n128_L32_S16,0.68,4,0.25,0.030513058923689603,0.039944888498917974
n128_L32_S16,0.68,5,0.3125,0.04618008284432802,0.060454714314313776
n128_L32_S16,0.68,6,0.375,0.06417221965244127,0.08400836393216266
n128_L32_S16,0.68,7,0.4375,0.08125254646687691,0.1063683558239625
n128_L32_S16,0.68,8,0.5,0.10020843582876027,0.1311836615870432
n128_L32_S16,0.68,9,0.5625,0.12006856965769613,0.15718272098500233
n128_L32_S16,0.68,10,0.625,0.14013786285229593,0.18345559257468055
n128_L32_S16,0.68,11,0.6875,0.16095551612353518,0.21070814830199847
n128_L32_S16,0.68,12,0.75,0.1818809061996431,0.23810174313878332
n128_L32_S16,0.68,13,0.8125,0.20530213441707804,0.2687626595678079
n128_L32_S16,0.68,14,0.875,0.22835892602404964,0.298946489127034
n128_L32_S16,0.68,15,0.9375,0.25175857617030906,0.3295791575311954
n128_L32_S16,0.68,16,1.0,0.2776913249976434,0.3635279255969917
n128_L32_S16,0.72,0,0.0,0.03311891947072704,0.04335624129889327
n128_L32_S16,0.72,1,0.0625,0.02029361060167024,0.02656652729414903
n128_L32_S16,0.72,2,0.125,0.006049282211606512,0.007919163530782822
n128_L32_S16,0.72,3,0.1875,0.010514917057451554,0.013765161679977676
n128_L32_S16,0.72,4,0.25,0.025724786080864728,0.033676522377796586
n128_L32_S16,0.72,5,0.3125,0.04151854447108635,0.054352257296869315
n128_L32_S16,0.72,6,0.375,0.059693230197934107,0.07814488315838763
n128_L32_S16,0.72,7,0.4375,0.07695857540417325,0.10074708410072297
n128_L32_S16,0.72,8,0.5,0.09614394851620188,0.12586280886914797
n128_L32_S16,0.72,9,0.5625,0.11624796773335884,0.15218114057157744
n128_L32_S16,0.72,10,0.625,0.13658363563225276,0.1788027254085434
n128_L32_S16,0.72,11,0.6875,0.15768481172785406,0.20642644312372901
n128_L32_S16,0.72,12,0.75,0.17890468354299016,0.23420554635086785
n128_L32_S16,0.72,13,0.8125,0.20265875979794187,0.2653021967972174
n128_L32_S16,0.72,14,0.875,0.22607957441781185,0.295962571782375
n128_L32_S16,0.72,15,0.9375,0.24984505917688804,0.3270741571923521
n128_L32_S16,0.72,16,1.0,0.27619972716728364,0.36157526299544934
n128_L32_S16,0.76,0,0.0,0.038189273237958676,0.049993881805164946
n128_L32_S16,0.76,1,0.0625,0.025277449312267546,0.03309091025061625
n128_L32_S16,0.76,2,0.125,0.010644297734743123,0.013934534955244871
n128_L32_S16,0.76,3,0.1875,0.005990959530476389,0.00784281284432667
n128_L32_S16,0.76,4,0.25,0.02101202000368417,0.027507002765054415
n128_L32_S16,0.76,5,0.3125,0.036861867691750705,0.04825616463073387
n128_L32_S16,0.76,6,0.375,0.05515378394799446,0.07220225791212326
n128_L32_S16,0.76,7,0.4375,0.07254086396857622,0.09496382286963363
n128_L32_S16,0.76,8,0.5,0.09188574477816794,0.12028836043555008
n128_L32_S16,0.76,9,0.5625,0.11215977781408368,0.1468292585824183
n128_L32_S16,0.76,10,0.625,0.13268527266200653,0.17369934739048767
n128_L32_S16,0.76,11,0.6875,0.15398866890252613,0.20158779310823766
n128_L32_S16,0.76,12,0.75,0.17542033674929003,0.22964416020751216
n128_L32_S16,0.76,13,0.8125,0.19941637897041542,0.26105757022764
n128_L32_S16,0.76,14,0.875,0.22310635333155787,0.29207030437417886
n128_L32_S16,0.76,15,0.9375,0.24714155040880012,0.32353497232835027
n128_L32_S16,0.76,16,1.0,0.27381070890734965,0.3584477801608505
n128_L32_S16,0.8,0,0.0,0.042960580832556036,0.05624003858468937
n128_L32_S16,0.8,1,0.0625,0.030006389295937522,0.03928160325318235
n128_L32_S16,0.8,2,0.125,0.015231305183018082,0.01993942294511455
n128_L32_S16,0.8,3,0.1875,0.002969739737757814,0.003887709947148022
n128_L32_S16,0.8,4,0.25,0.016480418745621634,0.02157464746014825
n128_L32_S16,0.8,5,0.3125,0.03231632107160041,0.042305553341232205
n128_L32_S16,0.8,6,0.375,0.05067333322097535,0.0663368641748626
n128_L32_S16,0.8,7,0.4375,0.06813247411503028,0.08919276459586155
n128_L32_S16,0.8,8,0.5,0.08758172111178629,0.11465392876875834
n128_L32_S16,0.8,9,0.5625,0.10796752312294304,0.14134114457144747
n128_L32_S16,0.8,10,0.625,0.12862214696160082,0.16838027716990786
n128_L32_S16,0.8,11,0.6875,0.15006323628016202,0.1964489779929621
n128_L32_S16,0.8,12,0.75,0.17164091942101425,0.22469649487686102
n128_L32_S16,0.8,13,0.8125,0.19580649222005764,0.25633183872699344
n128_L32_S16,0.8,14,0.875,0.21968948517275633,0.28759725504929234
n128_L32_S16,0.8,15,0.9375,0.24391729604002557,0.3193140752503173
n128_L32_S16,0.8,16,1.0,0.2708144463602217,0.35452534899267973
n128_L32_S16,0.84,0,0.0,0.04740378296730549,0.062056669893093774
n128_L32_S16,0.84,1,0.0625,0.03443778854932436,0.04508278331557517
n128_L32_S16,0.84,2,0.125,0.01960475438124433,0.025664740128676214
n128_L32_S16,0.84,3,0.1875,0.0048508875566861875,0.006350335541815556
n128_L32_S16,0.84,4,0.25,0.01222463557831711,0.016003367814974107
n128_L32_S16,0.84,5,0.3125,0.027960016375201423,0.036602680161582836
n128_L32_S16,0.84,6,0.375,0.04634055020947702,0.060664783420286486
n128_L32_S16,0.84,7,0.4375,0.0638335023809589,0.08356494645390004
n128_L32_S16,0.84,8,0.5,0.08334449804944423,0.10910694630483724
n128_L32_S16,0.84,9,0.5625,0.10379705589497877,0.13588155270207614
n128_L32_S16,0.84,10,0.625,0.12453358604463281,0.1630279095047137
n128_L32_S16,0.84,11,0.6875,0.14606212795665124,0.19121109521449547
n128_L32_S16,0.84,12,0.75,0.16773446978427312,0.21958253053927979
n128_L32_S16,0.84,13,0.8125,0.19201287771585512,0.2513655877602443
n128_L32_S16,0.84,14,0.875,0.2160288391163328,0.28280507413673506
n128_L32_S16,0.84,15,0.9375,0.24038852088261692,0.31469452758212185
n128_L32_S16,0.84,16,1.0,0.26744520803166205,0.3501146522579742
