case_id,kind,window,endpoint_output_drift,endpoint_gram_drift,output_tail_arclength,gram_tail_arclength,analytic_output_speed,loss_drift,pass,memberwise_p95
M4,pde,16-32,0.012217926448172205,0.01402961189576528,0.012217928468346432,0.014029645604891738,0.0038639938112348922,0.00015116600673371005,False,
M4,dense,8-16,0.12501210086774267,0.15150859815119208,0.1250131699662155,0.1515543813302947,0.04106337989215407,0.017654606354539346,False,0.18166997978023278
M4,dense,16-32,0.007733671289671906,0.008815547041311132,0.007733671589824082,0.008815554293513533,0.0029047828548502638,6.040037182469154e-05,False,0.012378417151972682
M5,pde,8-16,0.08848727822608993,0.1064516018349722,0.0885438810348234,0.10648204129982959,0.034818711139471444,0.008729112075371755,False,
M5,pde,16-32,0.0041608985092738806,0.0046423617269071545,0.004163612996895937,0.004642925271706223,0.001621286331334332,1.7733556637181374e-05,False,
M5,dense,8-16,0.08001497382679712,0.08926466669853714,0.0800583175262633,0.08929156006418627,0.036334877775885725,0.006690909594454526,False,0.10758717366986703
M5,dense,16-32,0.00182855116982962,0.001923121021666943,0.001829842063636818,0.0019233986610816599,0.0008807535282172512,3.3468441240114513e-06,False,0.0024466596229133003
A1,pde,8-16,3.384347316068518e-13,4.627189004272187e-13,3.3987759261104685e-13,4.914238256612844e-13,1.1353678452879774e-12,1.162736068481331e-25,True,
A1,pde,16-32,1.0683747526103537e-16,0.0,1.0683747526103537e-16,0.0,7.623990728512458e-16,2.3147327031132973e-32,True,
A1,dense,8-16,5.920388834926069e-13,8.558690242496919e-13,5.982645379128482e-13,9.301451323030434e-13,1.884086141856543e-12,3.5050682074976706e-25,True,6.273880481853356e-12
A1,dense,16-32,2.202510976377813e-16,9.745324114651039e-16,1.6559808665460482e-15,6.954974196183987e-14,3.7496048711949777e-16,8.560684590114266e-33,True,8.633318582086507e-16
A2,pde,8-16,3.1905804465136686e-12,4.367627023883566e-12,3.191923263656562e-12,4.402312793774086e-12,9.821477696642722e-12,1.0181597584535918e-23,True,
A2,pde,16-32,1.8633569316343946e-16,1.3106334156076926e-16,3.2274288782264186e-16,3.6275278551724073e-16,8.987828879470491e-16,6.944198109339891e-32,True,
A2,dense,8-16,2.6943242996377412e-11,4.154786985398025e-11,2.694663419539316e-11,4.1604632637232714e-11,7.343760408767782e-11,7.262829765468872e-22,True,1.924130616580937e-10
A2,dense,16-32,1.2027917273766937e-16,7.536142139744232e-16,2.363783536582755e-15,3.515079482227685e-14,4.666190878263746e-16,7.237038155997466e-32,True,1.0689564981182938e-15
I1,pde,8-16,4.174922308776358e-08,5.761630845403309e-08,4.174926426043983e-08,5.761636461716575e-08,8.823108372300538e-08,1.7429978044437727e-15,True,
I1,pde,16-32,1.9631683449678076e-15,3.3008175490766106e-15,5.898650015816294e-15,3.788054265656633e-14,6.853833305077214e-15,4.432713126461964e-30,True,
I1,dense,8-16,2.9650302690852772e-08,4.18408859971334e-08,2.9650334725666534e-08,4.184093844604169e-08,6.354369348925495e-08,8.800322540670661e-16,True,6.788785189900207e-08
I1,dense,16-32,2.2263021808688387e-15,2.9669760165897376e-15,1.7551379653488243e-14,1.2278460136313608e-13,5.032514913762742e-15,4.023030956405161e-30,True,4.629418067773464e-15
I2,pde,8-16,0.07259916640563084,0.08317492893926118,0.07262412717828329,0.08318996021536507,0.03090574830925743,0.005755497809610487,False,
I2,pde,16-32,0.002579711212605074,0.0027671890553502944,0.002580608092336201,0.0027673627475679496,0.0010927185159243977,6.803974800153643e-06,False,
I2,dense,8-16,0.06587480057698827,0.0710305446172213,0.0658990719122177,0.071046310266353,0.0321862410525128,0.0044904756035865625,False,0.08713433520050064
I2,dense,16-32,0.001157371966759845,0.0011823664403121654,0.00115788342360592,0.0011824806110588674,0.0005931724748321066,1.3403036204301633e-06,False,0.0015379890835130036
